date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,2,0,2,0,0,0,4.4316419233325945e-5,0,7.374359352531249e-5,0,0,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,3,1,3,1,0,0,8.728542333430317e-5,2.909514111143439e-5,1.451659730959063e-4,4.838865769863544e-5,0,0,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,4,0,4,0,2,0,1.1351382030762246e-4,0,1.7943656917279743e-4,0,5.675691015381123e-5,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,3,2,3,2,2,1,1.1818002757533977e-4,7.878668505022651e-5,1.8428650408501752e-4,1.2285766939001166e-4,7.878668505022651e-5,3.9393342525113254e-5,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,6,0,6,0,3,0,1.558117793705204e-4,0,2.4221872350732712e-4,0,7.79058896852602e-5,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,3,1,3,1,0,0,7.469747522533739e-5,2.4899158408445795e-5,1.1068068622025456e-4,3.689356207341819e-5,0,0,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,1,1,1,1,0,0,2.873315518777117e-5,2.873315518777117e-5,4.2461041993970535e-5,4.2461041993970535e-5,0,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,1,0,1,0,1,0,1.326312718012653e-5,0,1.8204325347702613e-5,0,1.326312718012653e-5,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,2,2,2,2,1,1,6.939384476596926e-5,6.939384476596926e-5,1.0245901639344262e-4,1.0245901639344262e-4,3.469692238298463e-5,3.469692238298463e-5,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,1,1,1,1,0,0,4.336701504835422e-5,4.336701504835422e-5,6.297625795075257e-5,6.297625795075257e-5,0,0,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,1,1,1,1,1,1,4.405286343612335e-5,4.405286343612335e-5,6.522731720044354e-5,6.522731720044354e-5,4.405286343612335e-5,4.405286343612335e-5,0,13,0,169,0
2015-06-30,29971,310688,19639,183127,4,0,4,0,2,0,1.3346234693537086e-4,0,2.036763582667142e-4,0,6.673117346768543e-5,0,0,14,0,196,0
2015-07-01,65931,307686,38559,181455,3,0,3,0,0,0,4.550211584838695e-5,0,7.780284758422158e-5,0,0,0,0,15,0,225,0
2015-07-02,37549,315123,22851,181043,11,0,10,0,7,0,2.929505446216943e-4,0,4.3761760973261564e-4,0,1.864230738501691e-4,0,0,16,0,256,0
2015-07-03,26941,227649,16344,144096,4,1,4,1,1,0,1.4847258824839463e-4,3.711814706209866e-5,2.447381302006853e-4,6.118453255017132e-5,3.711814706209866e-5,0,0,17,0,289,0
2015-07-04,28085,163256,17990,95956,10,4,8,3,3,0,3.5606195478013177e-4,1.424247819120527e-4,4.4469149527515285e-4,1.6675931072818233e-4,1.0681858643403952e-4,0,0,18,0,324,0
2015-07-05,42871,161806,27816,96182,9,0,9,0,9,0,2.0993212194723705e-4,0,3.235547886108714e-4,0,2.0993212194723705e-4,0,0,19,0,361,0
2015-07-06,48807,182295,32500,115760,2,1,2,1,1,0,4.097772860450345e-5,2.0488864302251725e-5,6.153846153846154e-5,3.076923076923077e-5,2.0488864302251725e-5,0,0,20,0,400,0
2015-07-07,50563,207599,30675,124396,1,0,1,0,0,0,1.977730751735459e-5,0,3.2599837000814995e-5,0,0,0,0,21,0,441,0
2015-07-08,33410,129766,21113,76623,1,0,1,0,1,0,2.9931158335827595e-5,0,4.736418320466063e-5,0,2.9931158335827595e-5,0,0,22,0,484,0
2015-07-09,48459,266406,29987,136579,4,1,4,1,1,0,8.254400627334448e-5,2.063600156833612e-5,1.3339113615900224e-4,3.334778403975056e-5,2.063600156833612e-5,0,0,23,0,529,0
2015-07-10,32645,209770,20957,111370,1,0,1,0,0,0,3.063256241384592e-5,0,4.771675335210192e-5,0,0,0,0,24,0,576,0
2015-07-11,27423,191932,18425,87589,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,625,0
2015-07-12,30896,259211,18649,135275,2,0,2,0,1,0,6.47332988089073e-5,0,1.0724435626575151e-4,0,3.236664940445365e-5,0,0,26,0,676,0
2015-07-13,77414,355705,43882,206020,7,2,6,2,1,0,9.042292091869687e-5,2.583512026248482e-5,1.367303222277927e-4,4.55767740759309e-5,1.291756013124241e-5,0,0,27,0,729,0
2015-07-14,53012,273404,33358,168274,2,1,2,1,1,1,3.772730702482457e-5,1.8863653512412285e-5,5.995563283170454e-5,2.997781641585227e-5,1.8863653512412285e-5,1.8863653512412285e-5,0,28,0,784,0
2015-07-15,35045,212582,22628,129561,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,841,0
2015-07-16,37794,170257,22246,105287,2,0,2,0,1,0,5.291845266444409e-5,0,8.990380293086398e-5,0,2.6459226332222046e-5,0,0,30,0,900,0
2015-07-17,32342,234700,19750,151274,1,0,1,0,0,0,3.091954733782697e-5,0,5.0632911392405066e-5,0,0,0,0,31,0,961,0
2015-07-18,28092,324246,17253,166728,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1024,0
2015-07-19,27413,298763,16872,155182,15,5,15,5,11,4,5.471856418487579e-4,1.8239521394958596e-4,8.890469416785206e-4,2.963489805595069e-4,4.012694706890891e-4,1.4591617115966877e-4,0,33,0,1089,0
2015-07-20,33338,318564,21324,161569,2,0,2,0,0,0,5.9991601175835386e-5,0,9.379103357719002e-5,0,0,0,0,34,0,1156,0
2015-07-21,39843,374953,24665,184864,2,0,2,0,1,0,5.019702331651733e-5,0,8.108655990269612e-5,0,2.5098511658258665e-5,0,0,35,0,1225,0
2015-07-22,34716,306448,20668,164409,1,0,1,0,0,0,2.8805161885009795e-5,0,4.8383975227404685e-5,0,0,0,0,36,0,1296,0
2015-07-23,35992,364702,22064,196448,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1369,0
2015-07-24,68715,232124,37693,135070,19,1,18,1,16,0,2.7650440224114096e-4,1.4552863275849523e-5,0.00047754224922399384,2.6530124956888548e-5,2.3284581241359237e-4,0,0,38,0,1444,0
2015-07-25,45930,152287,26064,84262,4,0,4,0,2,0,8.708904855214457e-5,0,1.534683855125844e-4,0,4.3544524276072285e-5,0,0,39,0,1521,0
2015-07-26,38208,160889,22016,83248,2,0,2,0,0,0,5.234505862646566e-5,0,9.084302325581395e-5,0,0,0,0,40,0,1600,0
2015-07-27,50538,172456,27059,96164,10,0,9,0,6,0,1.9787090901895603e-4,0,3.3260652647917514e-4,0,1.1872254541137362e-4,0,0,41,0,1681,0
2015-07-28,48681,243883,27338,130794,1,0,1,0,1,0,2.0541895195250714e-5,0,3.657912063793987e-5,0,2.0541895195250714e-5,0,0,42,0,1764,0
2015-07-29,46032,207382,28268,115840,3,0,3,0,1,0,6.517205422314912e-5,0,1.0612706947785482e-4,0,2.172401807438304e-5,0,0,43,0,1849,0
2015-07-30,47933,195376,28278,111224,3,0,3,0,0,0,6.258736152546263e-5,0,1.0608953957139826e-4,0,0,0,0,44,0,1936,0
2015-07-31,68357,149325,35929,87855,10,0,8,0,5,0,1.4629079684597043e-4,0,2.2266135990425562e-4,0,7.314539842298522e-5,0,0,45,0,2025,0
2015-08-01,46782,106443,26290,63909,4,0,4,0,2,0,8.550297122825018e-5,0,1.521491061240015e-4,0,4.275148561412509e-5,0,0,46,0,2116,0
2015-08-02,30816,125589,17396,73272,4,0,4,0,0,0,1.2980269989615784e-4,0,2.2993791676247414e-4,0,0,0,0,47,0,2209,0
2015-08-03,47311,156202,28883,86724,1,0,1,0,0,0,2.1136733529200396e-5,0,3.462244226707752e-5,0,0,0,0,48,0,2304,0
2015-08-04,41912,212702,26816,122672,2,0,2,0,0,0,4.77190303493033e-5,0,7.458233890214797e-5,0,0,0,0,49,0,2401,0
2015-08-05,56559,189473,33200,107461,3,1,3,1,0,0,5.304195618734419e-5,1.7680652062448063e-5,9.036144578313253e-5,3.0120481927710842e-5,0,0,0,50,0,2500,0
2015-08-06,21869,112618,14146,68662,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2601,0
2015-08-07,140586,1052480,94392,494723,10,7,10,7,5,4,7.113083806353406e-5,4.979158664447385e-5,1.0594118145605559e-4,7.415882701923892e-5,3.556541903176703e-5,2.8452335225413625e-5,0,52,0,2704,0
2015-08-08,43934,576309,28079,244205,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2809,0
2015-08-09,37119,416290,23818,181172,2,0,2,0,0,0,5.38807618739729e-5,0,8.397010664203544e-5,0,0,0,0,54,0,2916,0
2015-08-10,56219,379323,34450,178963,3,1,2,1,0,0,5.336274213344243e-5,1.7787580711147478e-5,5.8055152394775034e-5,2.9027576197387517e-5,0,0,0,55,0,3025,0
2015-08-11,77109,371747,46525,176163,3,0,3,0,0,0,3.890596428432479e-5,0,6.448146157979581e-5,0,0,0,0,56,0,3136,0
2015-08-12,124915,301292,71138,153464,2,0,2,0,1,0,1.6010887403434336e-5,0,2.8114369254125783e-5,0,8.005443701717168e-6,0,0,57,0,3249,0
2015-08-13,74958,212582,40768,113107,5,0,5,0,4,0,6.670402091838096e-5,0,1.226452119309262e-4,0,5.3363216734704765e-5,0,0,58,0,3364,0
2015-08-14,66089,182053,35733,100229,3,0,3,0,1,0,4.539333323245926e-5,0,8.395600705230459e-5,0,1.513111107748642e-5,0,0,59,0,3481,0
2015-08-15,58780,186967,30711,93845,1,0,1,0,0,0,1.701258931609391e-5,0,3.2561622871283904e-5,0,0,0,0,60,0,3600,0
2015-08-16,48977,245755,28000,112683,54,0,54,0,53,0,0.0011025583437123548,0,0.0019285714285714286,0,0.0010821405966065705,0,0,61,0,3721,0
2015-08-17,60472,291678,32375,135884,7,0,7,0,4,0,1.1575605238788199e-4,0,2.1621621621621621e-4,0,6.614631565021828e-5,0,0,62,0,3844,0
2015-08-18,80689,326460,44419,164851,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3969,0
2015-08-19,91267,307124,50501,164673,4,0,4,0,2,0,4.3827451324136876e-5,0,7.920635234945842e-5,0,2.1913725662068438e-5,0,0,64,0,4096,0
2015-08-20,79602,393088,49828,206136,2,0,2,0,1,0,2.5124996859375393e-5,0,4.013807497792406e-5,0,1.2562498429687696e-5,0,0,65,0,4225,0
2015-08-21,58737,334594,34247,173852,6,0,6,0,2,0,1.0215026303692733e-4,0,1.7519782754693843e-4,0,3.4050087678975775e-5,0,0,66,0,4356,0
2015-08-22,37305,392028,22426,193249,5,1,5,1,1,0,1.3403029084573114e-4,2.6806058169146228e-5,2.2295549808258272e-4,4.459109961651654e-5,2.6806058169146228e-5,0,0,67,0,4489,0
2015-08-23,33811,299780,20160,174616,28,1,28,1,22,0,8.281328561710686e-4,2.957617343468102e-5,0.001388888888888889,4.96031746031746e-5,6.506758155629825e-4,0,0,68,0,4624,0
2015-08-24,46322,290128,28755,168661,5,0,5,0,3,0,1.0794007167220758e-4,0,1.738828029907842e-4,0,6.476404300332455e-5,0,0,69,0,4761,0
2015-08-25,46050,490234,28307,238574,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,4900,0
2015-08-26,61269,1051509,39245,517531,19,1,19,1,14,0,3.101078849010103e-4,1.6321467626368965e-5,4.84138106765193e-4,2.548095298764174e-5,2.2850054676916548e-4,0,0,71,0,5041,0
2015-08-27,67194,687001,40174,407793,1,0,1,0,0,0,1.48822811560556e-5,0,2.489172101359088e-5,0,0,0,0,72,0,5184,0
2015-08-28,62581,536163,34515,317011,4,0,4,0,1,0,6.391716335629025e-5,0,1.1589164131537013e-4,0,1.5979290839072563e-5,0,0,73,0,5329,0
2015-08-29,46841,436020,27662,267253,4,4,3,3,0,0,8.539527337161889e-5,8.539527337161889e-5,1.0845202805292459e-4,1.0845202805292459e-4,0,0,0,74,0,5476,0
2015-08-30,39907,393799,24722,257159,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,5625,0
2015-08-31,45882,664218,28950,447710,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,5776,0
2015-09-01,77933,386534,45039,237185,11,0,11,0,8,0,1.4114688257862523e-4,0,2.442327760385444e-4,0,1.0265227823900016e-4,0,0,77,0,5929,0
2015-09-02,52054,318191,30357,191271,4,0,4,0,2,0,7.68432781342452e-5,0,1.3176532595447508e-4,0,3.84216390671226e-5,0,0,78,0,6084,0
2015-09-03,56959,366476,33992,203184,2,0,2,0,1,0,3.5112976000280905e-5,0,5.8837373499646975e-5,0,1.7556488000140453e-5,0,0,79,0,6241,0
2015-09-04,54162,338103,32116,178916,10,1,10,1,4,1,1.8463129131125142e-4,1.8463129131125144e-5,3.113712791132146e-4,3.113712791132146e-5,7.385251652450058e-5,1.8463129131125144e-5,0,80,0,6400,0
2015-09-05,50703,288003,29264,160448,2,1,2,1,1,0,3.944539770822239e-5,1.9722698854111196e-5,6.83433570256971e-5,3.417167851284855e-5,1.9722698854111196e-5,0,0,81,0,6561,0
2015-09-06,46855,271221,30185,157369,3,0,3,0,2,0,6.402731832248426e-5,0,9.938711280437304e-5,0,4.268487888165617e-5,0,0,82,0,6724,0
2015-09-07,47394,260186,30707,145843,3,0,3,0,2,0,6.3299151791366e-5,0,9.769759338261634e-5,0,4.219943452757733e-5,0,0,83,0,6889,0
2015-09-08,74103,235438,41031,135296,8,0,8,0,6,0,1.0795784246251839e-4,0,1.949745314518291e-4,0,8.096838184688879e-5,0,0,84,0,7056,0
2015-09-09,84067,279961,44634,153343,2,0,2,0,0,0,2.3790548015273532e-5,0,4.480889008379262e-5,0,0,0,0,85,0,7225,0
2015-09-10,65792,359705,40585,180867,2,0,2,0,1,0,3.0398832684824903e-5,0,4.9279290378218555e-5,0,1.5199416342412452e-5,0,0,86,0,7396,0
2015-09-11,50068,279174,30697,153329,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,7569,0
2015-09-12,36515,261369,20594,138363,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,7744,0
2015-09-13,36934,219094,21165,121043,5,3,5,3,3,2,1.3537661775058212e-4,8.122597065034928e-5,2.3623907394283014e-4,1.4174344436569808e-4,8.122597065034928e-5,5.415064710023285e-5,0,89,0,7921,0
2015-09-14,51166,277761,28461,153159,4,0,4,0,1,0,7.817691435719032e-5,0,1.4054319946593585e-4,0,1.954422858929758e-5,0,0,90,0,8100,0
2015-09-15,44794,368745,26137,175044,6,5,6,5,4,4,1.3394651069339645e-4,1.1162209224449703e-4,2.2955962811340247e-4,1.9129969009450205e-4,8.929767379559763e-5,8.929767379559763e-5,0,91,0,8281,0
2015-09-16,43386,445836,28299,212957,3,0,3,0,2,0,6.914672935970129e-5,0,1.060108131029365e-4,0,4.609781957313419e-5,0,0,92,0,8464,0
2015-09-17,128572,1054329,77606,558932,4,2,4,2,1,1,3.111097284012071e-5,1.5555486420060354e-5,5.1542406514960185e-5,2.5771203257480092e-5,7.777743210030177e-6,7.777743210030177e-6,0,93,0,8649,0
2015-09-18,59533,462386,34934,238661,6,1,5,1,3,0,1.0078443888263652e-4,1.679740648043942e-5,1.4312703956031374e-4,2.8625407912062748e-5,5.039221944131826e-5,0,0,94,0,8836,0
2015-09-19,44477,374089,25368,190185,4,0,4,0,2,0,8.993412325471592e-5,0,1.576789656259855e-4,0,4.496706162735796e-5,0,0,95,0,9025,0
2015-09-20,42243,314414,24853,178744,1,0,1,0,0,0,2.367256113438913e-5,0,4.023659115599726e-5,0,0,0,0,96,0,9216,0
2015-09-21,43784,309049,26492,164727,1,0,1,0,0,0,2.2839393385711677e-5,0,3.774724445115507e-5,0,0,0,0,97,0,9409,0
2015-09-22,60804,192200,36774,104860,3,0,3,0,0,0,4.933885928557332e-5,0,8.157937673356176e-5,0,0,0,0,98,0,9604,0
2015-09-23,69925,283563,39997,143540,2,0,2,0,1,0,2.860207365033965e-5,0,5.0003750281271094e-5,0,1.4301036825169825e-5,0,0,99,0,9801,0
2015-09-24,45519,291339,27963,140480,4,2,4,2,0,0,8.787539269316109e-5,4.3937696346580546e-5,1.4304616815077065e-4,7.152308407538533e-5,0,0,0,100,0,10000,0
2015-09-25,47707,311789,28700,193143,4,0,4,0,0,0,8.384513803005849e-5,0,1.3937282229965157e-4,0,0,0,0,101,0,10201,0
2015-09-26,36023,204198,21452,112429,1,1,1,1,0,0,2.7760042195264137e-5,2.7760042195264137e-5,4.661570016781652e-5,4.661570016781652e-5,0,0,0,102,0,10404,0
2015-09-27,43024,180508,24930,101933,4,0,4,0,0,0,9.297136481963555e-5,0,1.604492579221821e-4,0,0,0,0,103,0,10609,0
2015-09-28,47954,242208,28334,117896,5,1,5,1,0,0,1.0426658881428035e-4,2.085331776285607e-5,1.7646643608385684e-4,3.529328721677137e-5,0,0,0,104,0,10816,0
2015-09-29,44583,223591,26377,120780,3,2,3,2,2,2,6.729022273063724e-5,4.486014848709149e-5,1.1373545134018274e-4,7.582363422678849e-5,4.486014848709149e-5,4.486014848709149e-5,0,105,0,11025,0
2015-09-30,64384,263662,32151,144049,3,0,3,0,1,0,4.659542743538767e-5,0,9.330969487729775e-5,0,1.5531809145129223e-5,0,0,106,0,11236,0
2015-10-01,84716,210753,40705,124284,3,1,3,1,1,0,3.541243684782096e-5,1.1804145615940319e-5,7.370101953077018e-5,2.4567006510256727e-5,1.1804145615940319e-5,0,0,107,0,11449,0
2015-10-02,47746,177995,30092,107534,2,0,2,0,0,0,4.188832572362083e-5,0,6.646284726837697e-5,0,0,0,0,108,0,11664,0
2015-10-03,51006,179500,28064,93033,1,0,1,0,0,0,1.960553660353684e-5,0,3.563283922462942e-5,0,0,0,0,109,0,11881,0
2015-10-04,69899,216946,41333,112407,3,1,3,1,1,0,4.291906894233108e-5,1.430635631411036e-5,7.25812304937943e-5,2.4193743497931435e-5,1.430635631411036e-5,0,0,110,0,12100,0
2015-10-05,77006,188903,40811,107893,3,0,3,0,0,0,3.8958003272472275e-5,0,7.350959300188675e-5,0,0,0,0,111,0,12321,0
2015-10-06,60618,210931,31746,102433,2,0,2,0,0,0,3.299350028044475e-5,0,6.3000063000063e-5,0,0,0,0,112,0,12544,0
2015-10-07,77283,183839,41127,103945,5,1,3,1,0,0,6.469728142023473e-5,1.2939456284046944e-5,7.29447808009337e-5,2.4314926933644564e-5,0,0,0,113,0,12769,0
2015-10-08,66006,192513,37295,107161,2,0,2,0,0,0,3.0300275732509167e-5,0,5.362649148679448e-5,0,0,0,0,114,0,12996,0
2015-10-09,47370,197945,28099,111533,3,0,3,0,1,0,6.333122229259025e-5,0,1.0676536531549166e-4,0,2.1110407430863417e-5,0,0,115,0,13225,0
2015-10-10,44083,192714,26417,116052,1,1,1,1,0,0,2.2684481546174262e-5,2.2684481546174262e-5,3.785441193171064e-5,3.785441193171064e-5,0,0,0,116,0,13456,0
2015-10-11,33678,165772,22730,110711,2,0,2,0,1,0,5.938594928439931e-5,0,8.798944126704795e-5,0,2.9692974642199656e-5,0,0,117,0,13689,0
2015-10-12,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,NA,NA,0,118,0,13924,0
2015-10-13,36649,94030,24630,58925,3,0,3,0,1,0,8.185762230893066e-5,0,1.218026796589525e-4,0,2.728587410297689e-5,0,0,119,0,14161,0
2015-10-14,412700,534172,203799,240890,104,16,99,16,58,8,2.5199903077295855e-4,3.876908165737824e-5,4.857727466768728e-4,7.85087267356562e-5,1.4053792100799612e-4,1.938454082868912e-5,0,120,0,14400,0
2015-10-15,85022,218877,50291,121202,5,2,5,2,1,0,5.88083084378161e-5,2.352332337512644e-5,9.942136764033327e-5,3.9768547056133306e-5,1.176166168756322e-5,0,0,121,0,14641,0
2015-10-16,69271,190415,44313,106834,9,1,8,1,4,1,1.299244994297758e-4,1.4436055492197313e-5,1.8053392909529934e-4,2.2566741136912418e-5,5.774422196878925e-5,1.4436055492197313e-5,0,122,0,14884,0
