date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,47,3,45,3,22,0,0.0010414358519831599,6.647462884998891e-5,0.001659230854319531,1.1061539028796873e-4,4.874806115665854e-4,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,36,2,34,2,17,0,0.0010539567292209503,5.855315162338613e-5,0.0015150164869441227,8.911861687906604e-5,4.977017887987821e-4,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,99,8,84,8,77,4,0.002880418970032005,2.3276112889147513e-4,0.004064647246685377,3.871092615890835e-4,0.002240325865580448,1.1638056444573757e-4,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,21,4,21,4,6,0,5.959475566150178e-4,1.1351382030762246e-4,9.420419881571864e-4,1.7943656917279743e-4,1.7027073046143367e-4,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,19,3,19,3,7,0,7.260221627818112e-4,1.146350783339702e-4,0.001128869348226487,1.7824252866734003e-4,2.6748184944593045e-4,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,20,1,18,1,4,0,7.878668505022651e-4,3.9393342525113254e-5,0.0011057190245101051,6.142883469500583e-5,1.5757337010045301e-4,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,29,3,28,3,11,0,7.530902669575153e-4,7.79058896852602e-5,0.0011303540430341933,1.2110936175366356e-4,2.856549288459541e-4,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,50,7,45,5,32,1,0.0012449579204222897,1.7429410885912055e-4,0.0016602102933038186,1.8446781036709093e-4,7.967730690702654e-4,2.4899158408445795e-5,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,56,2,49,2,41,0,0.0016090566905151854,5.746631037554234e-5,0.002080591057704556,8.492208398794107e-5,0.0011780593626986178,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,96,6,79,4,69,0,0.001273260209292147,7.957876308075919e-5,0.0014381417024685065,7.281730139081045e-5,9.151557754287306e-4,0,0,10,0,100,0
