date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,1,0,1,0,0,0,2.2158209616662973e-5,0,3.6871796762656245e-5,0,0,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,1,1,1,1,0,0,2.9276575811693064e-5,2.9276575811693064e-5,4.455930843953302e-5,4.455930843953302e-5,0,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,1,0,1,0,0,0,2.909514111143439e-5,0,4.838865769863544e-5,0,0,0,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,1,0,1,0,1,0,3.9393342525113254e-5,0,6.142883469500583e-5,0,3.9393342525113254e-5,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,1,0,1,0,0,0,1.326312718012653e-5,0,1.8204325347702613e-5,0,0,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,3,0,2,0,0,0,1.0409076714895389e-4,0,1.0245901639344262e-4,0,0,0,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,1,1,1,1,0,0,4.336701504835422e-5,4.336701504835422e-5,6.297625795075257e-5,6.297625795075257e-5,0,0,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,169,0
2015-06-30,29971,310688,19639,183127,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,196,0
2015-07-01,65931,307686,38559,181455,3,0,2,0,2,0,4.550211584838695e-5,0,5.1868565056147725e-5,0,3.0334743898924632e-5,0,0,15,0,225,0
2015-07-02,37549,315123,22851,181043,4,3,4,3,0,0,1.065274707715252e-4,7.98956030786439e-5,1.7504704389304627e-4,1.312852829197847e-4,0,0,0,16,0,256,0
2015-07-03,26941,227649,16344,144096,5,3,4,3,2,2,1.855907353104933e-4,1.1135444118629598e-4,2.447381302006853e-4,1.8355359765051394e-4,7.423629412419731e-5,7.423629412419731e-5,0,17,0,289,0
2015-07-04,28085,163256,17990,95956,11,6,11,6,6,6,3.916681502581449e-4,2.1363717286807904e-4,6.114508060033352e-4,3.3351862145636465e-4,2.1363717286807904e-4,2.1363717286807904e-4,0,18,0,324,0
2015-07-05,42871,161806,27816,96182,15,0,15,0,8,0,3.4988686991206175e-4,0,5.392579810181191e-4,0,1.866063306197663e-4,0,0,19,0,361,0
2015-07-06,48807,182295,32500,115760,3,1,3,1,0,0,6.146659290675518e-5,2.0488864302251725e-5,9.23076923076923e-5,3.076923076923077e-5,0,0,0,20,0,400,0
2015-07-07,50563,207599,30675,124396,24,1,9,1,18,0,4.746553804165101e-4,1.977730751735459e-5,2.93398533007335e-4,3.2599837000814995e-5,3.559915353123826e-4,0,0,21,0,441,0
2015-07-08,33410,129766,21113,76623,4,0,1,0,4,0,1.1972463334331038e-4,0,4.736418320466063e-5,0,1.1972463334331038e-4,0,0,22,0,484,0
2015-07-09,48459,266406,29987,136579,5,0,5,0,2,0,1.0318000784168059e-4,0,1.667389201987528e-4,0,4.127200313667224e-5,0,0,23,0,529,0
2015-07-10,32645,209770,20957,111370,1,0,1,0,0,0,3.063256241384592e-5,0,4.771675335210192e-5,0,0,0,0,24,0,576,0
2015-07-11,27423,191932,18425,87589,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,625,0
2015-07-12,30896,259211,18649,135275,4,0,1,0,4,0,1.294665976178146e-4,0,5.3622178132875755e-5,0,1.294665976178146e-4,0,0,26,0,676,0
2015-07-13,77414,355705,43882,206020,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,729,0
2015-07-14,53012,273404,33358,168274,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,784,0
2015-07-15,35045,212582,22628,129561,8,0,8,0,7,0,2.2827792837779997e-4,0,3.5354428142124803e-4,0,1.9974318733057496e-4,0,0,29,0,841,0
2015-07-16,37794,170257,22246,105287,1,0,1,0,0,0,2.6459226332222046e-5,0,4.495190146543199e-5,0,0,0,0,30,0,900,0
2015-07-17,32342,234700,19750,151274,11,0,11,0,7,0,3.401150207160967e-4,0,5.569620253164557e-4,0,2.1643683136478883e-4,0,0,31,0,961,0
