date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,3,1,3,1,0,0,6.647462884998891e-5,2.2158209616662973e-5,1.1061539028796873e-4,3.6871796762656245e-5,0,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,2,1,2,1,1,0,5.855315162338613e-5,2.9276575811693064e-5,8.911861687906604e-5,4.455930843953302e-5,2.9276575811693064e-5,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,1,0,1,0,0,0,2.909514111143439e-5,0,4.838865769863544e-5,0,0,0,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,1,1,1,1,0,0,3.821169277799006e-5,3.821169277799006e-5,5.941417622244667e-5,5.941417622244667e-5,0,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,1,0,1,0,0,0,3.9393342525113254e-5,0,6.142883469500583e-5,0,0,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,3,0,3,0,2,0,8.61994655633135e-5,0,1.273831259819116e-4,0,5.746631037554234e-5,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,1,0,1,0,1,0,1.326312718012653e-5,0,1.8204325347702613e-5,0,1.326312718012653e-5,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,1,1,1,1,0,0,4.336701504835422e-5,4.336701504835422e-5,6.297625795075257e-5,6.297625795075257e-5,0,0,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,169,0
2015-06-30,29971,310688,19639,183127,3,1,3,1,2,0,1.0009676020152815e-4,3.3365586733842714e-5,1.5275726870003564e-4,5.091908956667855e-5,6.673117346768543e-5,0,0,14,0,196,0
2015-07-01,65931,307686,38559,181455,1,0,1,0,1,0,1.5167371949462316e-5,0,2.5934282528073862e-5,0,1.5167371949462316e-5,0,0,15,0,225,0
2015-07-02,37549,315123,22851,181043,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,256,0
2015-07-03,26941,227649,16344,144096,6,1,6,1,3,0,2.2270888237259197e-4,3.711814706209866e-5,3.671071953010279e-4,6.118453255017132e-5,1.1135444118629598e-4,0,0,17,0,289,0
2015-07-04,28085,163256,17990,95956,1,0,1,0,0,0,3.5606195478013175e-5,0,5.558643690939411e-5,0,0,0,0,18,0,324,0
2015-07-05,42871,161806,27816,96182,7,2,6,2,2,0,1.632805392922955e-4,4.665158265494157e-5,2.1570319240724764e-4,7.19010641357492e-5,4.665158265494157e-5,0,0,19,0,361,0
2015-07-06,48807,182295,32500,115760,8,3,8,3,1,0,1.639109144180138e-4,6.146659290675518e-5,2.4615384615384614e-4,9.23076923076923e-5,2.0488864302251725e-5,0,0,20,0,400,0
2015-07-07,50563,207599,30675,124396,5,3,5,3,0,0,9.888653758677294e-5,5.933192255206376e-5,1.6299918500407498e-4,9.779951100244499e-5,0,0,0,21,0,441,0
2015-07-08,33410,129766,21113,76623,1,1,1,1,0,0,2.9931158335827595e-5,2.9931158335827595e-5,4.736418320466063e-5,4.736418320466063e-5,0,0,0,22,0,484,0
2015-07-09,48459,266406,29987,136579,8,2,8,2,0,0,1.6508801254668895e-4,4.127200313667224e-5,2.667822723180045e-4,6.669556807950112e-5,0,0,0,23,0,529,0
2015-07-10,32645,209770,20957,111370,2,2,2,2,0,0,6.126512482769183e-5,6.126512482769183e-5,9.543350670420384e-5,9.543350670420384e-5,0,0,0,24,0,576,0
2015-07-11,27423,191932,18425,87589,6,4,6,4,1,0,2.187944426211574e-4,1.4586296174743827e-4,3.2564450474898234e-4,2.1709633649932158e-4,3.646574043685957e-5,0,0,25,0,625,0
2015-07-12,30896,259211,18649,135275,3,1,3,1,0,0,9.709994821336095e-5,3.236664940445365e-5,1.6086653439862728e-4,5.3622178132875755e-5,0,0,0,26,0,676,0
2015-07-13,77414,355705,43882,206020,12,0,12,0,10,0,1.5501072157490892e-4,0,2.734606444555854e-4,0,1.291756013124241e-4,0,0,27,0,729,0
2015-07-14,53012,273404,33358,168274,5,3,4,2,1,1,9.431826756206142e-5,5.659096053723685e-5,1.1991126566340908e-4,5.995563283170454e-5,1.8863653512412285e-5,1.8863653512412285e-5,0,28,0,784,0
