date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,3,1,3,1,1,0,6.647462884998891e-5,2.2158209616662973e-5,1.1061539028796873e-4,3.6871796762656245e-5,2.2158209616662973e-5,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,1,1,1,1,1,1,2.909514111143439e-5,2.909514111143439e-5,4.838865769863544e-5,4.838865769863544e-5,2.909514111143439e-5,2.909514111143439e-5,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,3,3,3,3,0,0,8.513536523071684e-5,8.513536523071684e-5,1.3457742687959806e-4,1.3457742687959806e-4,0,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,3,2,3,2,0,0,1.146350783339702e-4,7.642338555598012e-5,1.7824252866734003e-4,1.1882835244489335e-4,0,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,3,1,2,1,2,0,7.79058896852602e-5,2.5968629895086736e-5,8.073957450244238e-5,4.036978725122119e-5,5.193725979017347e-5,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,8,6,7,6,1,1,1.9919326726756636e-4,1.4939495045067477e-4,2.582549345139273e-4,2.2136137244050912e-4,2.4899158408445795e-5,2.4899158408445795e-5,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,9,9,8,8,0,0,1.1936814462113877e-4,1.1936814462113877e-4,1.456346027816209e-4,1.456346027816209e-4,0,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,4,4,4,4,0,0,1.3878768953193852e-4,1.3878768953193852e-4,2.0491803278688525e-4,2.0491803278688525e-4,0,0,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,3,3,3,3,0,0,1.3010104514506266e-4,1.3010104514506266e-4,1.889287738522577e-4,1.889287738522577e-4,0,0,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,2,1,2,1,0,0,8.81057268722467e-5,4.405286343612335e-5,1.3045463440088708e-4,6.522731720044354e-5,0,0,0,13,0,169,0
2015-06-30,29971,310688,19639,183127,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,196,0
2015-07-01,65931,307686,38559,181455,7,3,7,3,3,0,1.0617160364623621e-4,4.550211584838695e-5,1.8153997769651702e-4,7.780284758422158e-5,4.550211584838695e-5,0,0,15,0,225,0
2015-07-02,37549,315123,22851,181043,3,3,3,3,0,0,7.98956030786439e-5,7.98956030786439e-5,1.312852829197847e-4,1.312852829197847e-4,0,0,0,16,0,256,0
2015-07-03,26941,227649,16344,144096,2,2,2,2,0,0,7.423629412419731e-5,7.423629412419731e-5,1.2236906510034264e-4,1.2236906510034264e-4,0,0,0,17,0,289,0
2015-07-04,28085,163256,17990,95956,1,0,1,0,0,0,3.5606195478013175e-5,0,5.558643690939411e-5,0,0,0,0,18,0,324,0
2015-07-05,42871,161806,27816,96182,3,2,3,2,0,0,6.997737398241235e-5,4.665158265494157e-5,1.0785159620362382e-4,7.19010641357492e-5,0,0,0,19,0,361,0
2015-07-06,48807,182295,32500,115760,3,3,2,2,0,0,6.146659290675518e-5,6.146659290675518e-5,6.153846153846154e-5,6.153846153846154e-5,0,0,0,20,0,400,0
2015-07-07,50563,207599,30675,124396,2,2,2,2,0,0,3.955461503470918e-5,3.955461503470918e-5,6.519967400162999e-5,6.519967400162999e-5,0,0,0,21,0,441,0
2015-07-08,33410,129766,21113,76623,1,0,1,0,0,0,2.9931158335827595e-5,0,4.736418320466063e-5,0,0,0,0,22,0,484,0
2015-07-09,48459,266406,29987,136579,3,3,2,2,1,1,6.190800470500836e-5,6.190800470500836e-5,6.669556807950112e-5,6.669556807950112e-5,2.063600156833612e-5,2.063600156833612e-5,0,23,0,529,0
2015-07-10,32645,209770,20957,111370,1,1,1,1,0,0,3.063256241384592e-5,3.063256241384592e-5,4.771675335210192e-5,4.771675335210192e-5,0,0,0,24,0,576,0
2015-07-11,27423,191932,18425,87589,4,4,4,4,2,2,1.4586296174743827e-4,1.4586296174743827e-4,2.1709633649932158e-4,2.1709633649932158e-4,7.293148087371914e-5,7.293148087371914e-5,0,25,0,625,0
2015-07-12,30896,259211,18649,135275,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,676,0
2015-07-13,77414,355705,43882,206020,1,0,1,0,0,0,1.291756013124241e-5,0,2.278838703796545e-5,0,0,0,0,27,0,729,0
2015-07-14,53012,273404,33358,168274,3,3,3,3,0,0,5.659096053723685e-5,5.659096053723685e-5,8.99334492475568e-5,8.99334492475568e-5,0,0,0,28,0,784,0
2015-07-15,35045,212582,22628,129561,4,4,4,4,0,0,1.1413896418889998e-4,1.1413896418889998e-4,1.7677214071062401e-4,1.7677214071062401e-4,0,0,0,29,0,841,0
2015-07-16,37794,170257,22246,105287,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,900,0
2015-07-17,32342,234700,19750,151274,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,961,0
2015-07-18,28092,324246,17253,166728,1,1,1,1,0,0,3.559732308130429e-5,3.559732308130429e-5,5.79609343302614e-5,5.79609343302614e-5,0,0,0,32,0,1024,0
2015-07-19,27413,298763,16872,155182,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1089,0
2015-07-20,33338,318564,21324,161569,1,1,1,1,0,0,2.9995800587917693e-5,2.9995800587917693e-5,4.689551678859501e-5,4.689551678859501e-5,0,0,0,34,0,1156,0
2015-07-21,39843,374953,24665,184864,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1225,0
2015-07-22,34716,306448,20668,164409,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1296,0
2015-07-23,35992,364702,22064,196448,3,0,3,0,2,0,8.335185596799289e-5,0,1.359680928208847e-4,0,5.5567903978661923e-5,0,0,37,0,1369,0
2015-07-24,68715,232124,37693,135070,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1444,0
2015-07-25,45930,152287,26064,84262,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1521,0
2015-07-26,38208,160889,22016,83248,3,3,3,3,0,0,7.85175879396985e-5,7.85175879396985e-5,1.3626453488372093e-4,1.3626453488372093e-4,0,0,0,40,0,1600,0
2015-07-27,50538,172456,27059,96164,1,0,1,0,0,0,1.9787090901895605e-5,0,3.695628071990835e-5,0,0,0,0,41,0,1681,0
2015-07-28,48681,243883,27338,130794,1,1,1,1,0,0,2.0541895195250714e-5,2.0541895195250714e-5,3.657912063793987e-5,3.657912063793987e-5,0,0,0,42,0,1764,0
2015-07-29,46032,207382,28268,115840,6,6,6,6,5,5,1.3034410844629823e-4,1.3034410844629823e-4,2.1225413895570964e-4,2.1225413895570964e-4,1.0862009037191519e-4,1.0862009037191519e-4,0,43,0,1849,0
