date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,33,21,29,18,9,5,7.312209173498781e-4,4.6532240194992246e-4,0.0010692821061170311,6.636923417278124e-4,1.9942388654996677e-4,1.1079104808331487e-4,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,16,14,13,11,6,5,4.68425212987089e-4,4.098720613637029e-4,5.792710097139292e-4,4.901523928348632e-4,1.7565945487015838e-4,1.463828790584653e-4,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,6,6,6,6,0,0,1.7457084666860635e-4,1.7457084666860635e-4,2.903319461918126e-4,2.903319461918126e-4,0,0,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,13,8,13,8,3,2,3.68919915999773e-4,2.270276406152449e-4,5.831688498115916e-4,3.5887313834559486e-4,8.513536523071684e-5,5.675691015381123e-5,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,12,10,12,10,2,2,4.585403133358808e-4,3.8211692777990065e-4,7.129701146693601e-4,5.941417622244668e-4,7.642338555598012e-5,7.642338555598012e-5,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,10,4,10,4,4,0,3.9393342525113255e-4,1.5757337010045301e-4,6.142883469500584e-4,2.457153387800233e-4,1.5757337010045301e-4,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,31,23,27,21,12,11,8.050275267476888e-4,5.972784875869949e-4,0.001089984255782972,8.477655322756449e-4,3.116235587410408e-4,2.856549288459541e-4,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,23,10,21,10,7,2,5.726806433942532e-4,2.4899158408445794e-4,7.74764803541782e-4,3.6893562073418186e-4,1.7429410885912055e-4,4.979831681689159e-5,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,21,14,21,14,5,1,6.033962589431945e-4,0.00040226417262879634,8.916818818733811e-4,5.944545879155874e-4,1.4366577593885585e-4,2.873315518777117e-5,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,43,20,42,19,21,0,5.703144687454408e-4,2.652625436025306e-4,7.645816646035098e-4,3.458821816063497e-4,2.7852567078265713e-4,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,42,15,40,14,26,2,0.0014572707400853544,5.204538357447694e-4,0.0020491803278688526,7.172131147540983e-4,9.021199819576004e-4,6.939384476596926e-5,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,29,26,29,26,3,1,0.0012576434364022725,0.0011275423912572098,0.0018263114805718245,0.0016373827067195667,1.3010104514506266e-4,4.336701504835422e-5,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,20,15,16,14,2,2,8.81057268722467e-4,6.607929515418502e-4,0.0010436370752070967,9.131824408062097e-4,8.81057268722467e-5,8.81057268722467e-5,0,13,0,169,0
