date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-06-17,361040,216968,89,26,83,23,32,5,0.0019720806558830048,5.761134500332373e-4,0.0030603591313004682,8.480513255410936e-4,7.090627077332151e-4,1.1079104808331487e-4,0,1,0,0,1
2015-06-18,273256,179536,55,18,50,15,24,5,0.0016102116696431186,5.269783646104752e-4,0.002227965421976651,6.683896265929953e-4,7.026378194806335e-4,1.463828790584653e-4,0,2,0,0,4
2015-06-19,274960,165328,112,16,97,16,79,5,0.003258655804480652,4.6552225778295027e-4,0.004693699796767638,7.74218523178167e-4,0.002298516147803317,1.4547570555717196e-4,0,3,0,0,9
2015-06-20,281904,178336,41,15,41,15,11,2,0.0011635166581531302,4.256768261535842e-4,0.0018392248340211735,6.728871343979904e-4,3.1216300584596175e-4,5.675691015381123e-5,0,4,0,0,16
2015-06-21,209360,134648,35,16,35,16,9,2,0.0013374092472296522,6.11387084447841e-4,0.0020794961677856336,9.506268195591468e-4,3.4390523500191054e-4,7.642338555598012e-5,0,5,0,0,25
2015-06-22,203080,130232,35,7,33,7,11,1,0.001378766988378964,2.757533976757928e-4,0.0020271515449351925,4.3000184286504084e-4,4.333267677762458e-4,3.9393342525113254e-5,0,6,0,0,36
2015-06-23,308064,198168,69,27,63,25,28,11,0.0017918354627609848,7.011530071673418e-4,0.0025432965968269347,0.0010092446812805297,7.271216370624286e-4,2.856549288459541e-4,0,7,0,0,49
2015-06-24,321296,216840,84,24,76,22,40,4,0.0020915293063094465,5.975798018026991e-4,0.0028039107175797827,8.116583656152e-4,9.959663363378318e-4,9.959663363378318e-5,0,8,0,0,64
2015-06-25,278424,188408,81,17,74,17,48,1,0.0023273855702094647,4.884636381921099e-4,0.0031421171075538194,7.218377138974991e-4,0.001379191449013016,2.873315518777117e-5,0,9,0,0,81
2015-06-26,603176,439456,154,36,135,32,92,0,0.002042521585739486,4.7747257848455507e-4,0.0024575839219398527,5.825384111264836e-4,0.001220207700571641,0,0,10,0,0,100
2015-06-27,230568,156160,85,23,81,22,35,3,0.0029492384025536934,7.980292148086465e-4,0.004149590163934427,0.0011270491803278687,0.0012143922834044621,1.0409076714895389e-4,0,11,0,0,121
2015-06-28,184472,127032,77,40,73,38,26,1,0.003339260158723275,0.001734680601934169,0.0045972668304049375,0.0023930978021285973,0.0011275423912572098,4.336701504835422e-5,0,12,0,0,144
