date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,232,7,198,7,10,0,6.03448500092338e-4,1.8207497847613646e-5,0.0026153460049929333,9.246172744924511e-5,2.601071121087664e-5,0,0,3,0,9,0
2015-06-18,74171,361456,224,9,191,9,10,0,6.197158160329335e-4,2.489929617989465e-5,0.0025751304418168827,1.2134122500707824e-4,2.7665884644327387e-5,0,0,4,0,16,0
2015-06-19,72441,340250,234,12,205,10,14,0,6.877296105804555e-4,3.526818515797208e-5,0.002829889151171298,1.380433732278682e-4,4.1146216017634094e-5,0,0,5,0,25,0
2015-06-20,65711,301898,256,5,223,5,9,0,8.479685191687259e-4,1.6561885140014177e-5,0.0033936479432667287,7.609076105979212e-5,2.9811393252025517e-5,0,0,6,0,36,0
2015-06-21,67140,309833,199,3,179,3,12,0,6.422814871237085e-4,9.682635484277013e-6,0.0026660708966338995,4.468275245755138e-5,3.8730541937108054e-5,0,0,7,0,49,0
2015-06-22,71306,337562,260,7,233,7,8,0,7.702288764730627e-4,2.0736931289659382e-5,0.003267607213979188,9.816845707233613e-5,2.3699350045325006e-5,0,0,8,0,64,0
2015-06-23,72755,357780,397,8,342,8,11,1,0.001109620437140142,2.2360109564536866e-5,0.0047007078551302315,1.0995807848257852e-4,3.074515065123819e-5,2.795013695567108e-6,0,9,0,81,0
2015-06-24,73150,356657,367,3,322,3,11,0,0.0010289998513978416,8.411442926957833e-6,0.004401913875598086,4.101161995898838e-5,3.084195739884539e-5,0,0,10,0,100,0
2015-06-25,73588,366612,313,4,264,4,22,0,8.537636520353943e-4,1.0910717597896414e-5,0.0035875414469750504,5.4356688590531064e-5,6.0008946788430275e-5,0,0,11,0,121,0
2015-06-26,77794,415664,296,6,244,6,18,2,7.121136302398091e-4,1.4434735748104237e-5,0.0031364886752191685,7.71267707021107e-5,4.330420724431271e-5,4.811578582701413e-6,0,12,0,144,0
2015-06-27,67997,333343,217,10,202,10,16,1,6.509811215474751e-4,2.9999130025229267e-5,0.002970719296439549,1.4706531170492816e-4,4.799860804036683e-5,2.999913002522927e-6,0,13,0,169,0
2015-06-28,64743,318209,233,7,194,6,12,0,7.322231615070598e-4,2.1998120731971755e-5,0.002996462938078248,9.267411148695612e-5,3.771106411195158e-5,0,0,14,0,196,0
2015-06-29,71477,392641,225,6,202,6,10,0,5.73042550319503e-4,1.528113467518675e-5,0.0028260839151055582,8.394308658729382e-5,2.5468557791977914e-5,0,0,15,0,225,0
2015-06-30,72885,369547,231,13,198,13,14,1,6.250896367715067e-4,3.517820466679475e-5,0.00271660835562873,1.7836317486451259e-4,3.788422041039435e-5,2.7060157435995965e-6,0,16,0,256,0
2015-07-01,75121,385414,271,10,223,8,9,0,7.031400001037845e-4,2.5946125465084298e-5,0.002968544082214028,1.064948549673194e-4,2.335151291857587e-5,0,0,17,0,289,0
2015-07-02,73176,363686,225,7,201,7,14,0,6.186655521521312e-4,1.924737273362186e-5,0.0027468022302394226,9.565977916256696e-5,3.849474546724372e-5,0,0,18,0,324,0
2015-07-03,69295,339979,208,4,173,4,19,0,6.118024936834334e-4,1.1765432570835258e-5,0.0024965726242874666,5.772422252687784e-5,5.5885804711467476e-5,0,0,19,0,361,0
2015-07-04,67854,322823,202,10,176,10,11,1,6.257298891342934e-4,3.097672718486601e-5,0.0025938043446222772,1.4737524685353847e-4,3.407439990335261e-5,3.097672718486601e-6,0,20,0,400,0
2015-07-05,65220,311657,187,7,173,7,10,1,6.000186102028832e-4,2.2460589686738948e-5,0.0026525605642440967,1.0732904017172646e-4,3.208655669534135e-5,3.2086556695341355e-6,0,21,0,441,0
2015-07-06,72872,366958,190,7,162,7,16,0,5.177704260433074e-4,1.907575253843764e-5,0.002223076078603579,9.605884290262378e-5,4.3601720087857463e-05,0,0,22,0,484,0
2015-07-07,73046,372688,249,5,219,5,13,0,6.68119177435281e-4,1.3416047739664278e-5,0.0029981107795088026,6.845001779700463e-5,3.488172412312712e-5,0,0,23,0,529,0
2015-07-08,74004,377516,362,9,334,6,17,3,9.588997552421619e-4,2.3840049163479164e-5,0.004513269552997135,8.107669855683477e-5,4.5031203975460643e-5,7.946683054493055e-6,0,24,0,576,0
2015-07-09,74386,382108,246,9,221,9,11,1,6.437970416740817e-4,2.355355030514933e-5,0.0029709891646277527,1.2099050896674106e-4,2.8787672595182512e-5,2.617061145016592e-6,0,25,0,625,0
2015-07-10,74135,385535,331,11,265,11,20,0,8.585472136122531e-4,2.853178051279391e-5,0.00357455992446213,1.4837795912861672e-4,5.18759645687162e-5,0,0,26,0,676,0
2015-07-11,66986,329334,197,5,167,4,15,0,5.981769267673548e-4,1.518215550170951e-5,0.0024930582509778165,5.971397008330099e-5,4.5546466505128534e-5,0,0,27,0,729,0
2015-07-12,66240,329762,189,10,160,10,21,1,5.731406286958473e-4,3.032490098919827e-5,0.0024154589371980675,1.5096618357487922e-4,6.368229207731637e-5,3.032490098919827e-6,0,28,0,784,0
2015-07-13,73283,381887,207,11,185,10,15,1,5.420451599556937e-4,2.88043321715586e-5,0.0025244599702523096,1.3645729568931403e-4,3.927863477939809e-5,2.618575651959873e-6,0,29,0,841,0
2015-07-14,74881,391650,242,7,192,7,11,0,6.178986339844248e-4,1.7873100983020553e-5,0.002564068321737156,9.348165756333383e-5,2.8086301544746585e-5,0,0,30,0,900,0
2015-07-15,75026,396257,202,4,189,4,15,0,5.097701744070137e-4,1.0094458899148785e-5,0.002519126702743049,5.3314850851704744e-5,3.7854220871807945e-5,0,0,31,0,961,0
2015-07-16,74921,385391,248,10,223,9,12,0,6.4350231323513e-4,2.5947673920771372e-5,0.002976468546869369,1.2012653328172342e-4,3.1137208704925646e-5,0,0,32,0,1024,0
2015-07-17,73605,376874,219,4,191,4,25,0,5.810960692433014e-4,1.061362683549409e-5,0.0025949324094830515,5.4344134230011546e-5,6.633516772183807e-5,0,0,33,0,1089,0
2015-07-18,66378,330487,198,7,177,7,10,1,5.991158502452441e-4,2.118086339250863e-5,0.0026665461448070146,0.00010545662719575763,3.025837627501233e-5,3.025837627501233e-6,0,34,0,1156,0
2015-07-19,65472,329376,306,6,198,6,15,0,9.290294374817837e-4,1.8216263480034977e-5,0.0030241935483870967,9.164222873900293e-5,4.5540658700087436e-5,0,0,35,0,1225,0
2015-07-20,73176,376020,300,11,199,11,21,3,7.978299026647519e-4,2.9253763097707568e-5,0.0027194708647644036,1.5032251011260522e-4,5.584809318653263e-5,7.97829902664752e-6,0,36,0,1296,0
2015-07-21,73809,379020,259,3,223,3,12,0,6.833412484829296e-4,7.91514959632737e-6,0.0030213117641480036,4.0645449741901396e-5,3.166059838530948e-5,0,0,37,0,1369,0
2015-07-22,75514,402980,236,6,203,6,14,0,5.856370043178322e-4,1.4889076380961834e-5,0.002688243239664168,7.945546521174882e-5,3.474117822224428e-5,0,0,38,0,1444,0
2015-07-23,76065,414875,291,5,248,5,23,1,7.01416089183489e-4,1.2051822838204278e-5,0.003260369420890028,6.573325445342799e-5,5.543838505573968e-5,2.4103645676408555e-6,0,39,0,1521,0
2015-07-24,73515,373341,303,13,263,12,17,1,8.115904762670053e-4,3.4820713503204844e-5,0.0035775011902332856,1.6323199347072025e-4,4.5534779196498646e-5,2.6785164233234495e-6,0,40,0,1600,0
2015-07-25,67304,338098,223,0,196,0,7,0,6.595720767351478e-4,0,0.0029121597527635803,0,2.0704056220385806e-5,0,0,41,0,1681,0
2015-07-26,66247,342922,204,5,159,5,14,2,5.94887467120803e-4,1.4580575174529484e-5,0.00240010868416683,7.547511585430284e-5,4.082561048868256e-5,5.832230069811794e-6,0,42,0,1764,0
2015-07-27,73271,384423,249,11,216,11,14,0,6.477239915405686e-4,2.8614312879302227e-5,0.002947960311719507,1.5012760846719713e-4,3.6418216391839197e-05,0,0,43,0,1849,0
2015-07-28,74902,398091,261,5,223,5,17,0,6.556289893516809e-4,1.2559942324744844e-5,0.0029772235721342555,6.675389175188913e-5,4.270380390413247e-5,0,0,44,0,1936,0
2015-07-29,76355,412661,247,5,222,5,12,1,5.985542612459137e-4,1.2116483021172342e-5,0.0029074716783445745,6.548359635911205e-5,2.907955925081362e-5,2.4232966042344686e-6,0,45,0,2025,0
2015-07-30,75137,392540,237,7,195,6,15,0,6.037601263565496e-4,1.7832577571712436e-5,0.002595259326297297,7.985413311683991e-5,3.821266622509808e-5,0,0,46,0,2116,0
2015-07-31,75372,408683,229,9,207,9,13,1,5.603364955234253e-4,2.202195833934859e-5,0.002746377965292151,1.1940773762139787e-4,3.1809495379059076e-5,2.4468842599276214e-6,0,47,0,2209,0
2015-08-01,68004,344517,224,11,182,10,14,0,6.501856221899064e-4,3.192875823254005e-5,0.0026763131580495266,1.4705017351920475e-4,4.063660138686915e-5,0,0,48,0,2304,0
2015-08-02,66832,342147,222,5,200,5,12,0,6.488439179650852e-4,1.4613601755970386e-5,0.0029925784055542257,7.481446013885564e-5,3.507264421432893e-5,0,0,49,0,2401,0
