date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,5,0,5,0,1,0,1.300535560543832e-5,0,6.604409103517508e-5,0,2.601071121087664e-6,0,0,3,0,9,0
2015-06-18,74171,361456,1,0,1,0,0,0,2.7665884644327385e-6,0,1.3482358334119805e-5,0,0,0,0,4,0,16,0
2015-06-19,72441,340250,11,0,9,0,0,0,3.2329169728141076e-5,0,1.2423903590508137e-4,0,0,0,0,5,0,25,0
2015-06-20,65711,301898,4,0,4,0,0,0,1.3249508112011341e-5,0,6.08726088478337e-5,0,0,0,0,6,0,36,0
2015-06-21,67140,309833,2,0,2,0,0,0,6.455090322851342e-6,0,2.978850163836759e-5,0,0,0,0,7,0,49,0
2015-06-22,71306,337562,4,0,4,0,0,0,1.1849675022662503e-5,0,5.609626118419207e-5,0,0,0,0,8,0,64,0
2015-06-23,72755,357780,6,0,6,0,0,0,1.677008217340265e-5,0,8.246855886193389e-5,0,0,0,0,9,0,81,0
2015-06-24,73150,356657,2,0,2,0,0,0,5.607628617971889e-6,0,2.734107997265892e-5,0,0,0,0,10,0,100,0
2015-06-25,73588,366612,8,0,8,0,0,0,2.1821435195792828e-5,0,1.0871337718106213e-4,0,0,0,0,11,0,121,0
2015-06-26,77794,415664,4,0,4,0,0,0,9.623157165402826e-6,0,5.141784713474047e-5,0,0,0,0,12,0,144,0
2015-06-27,67997,333343,4,0,4,0,0,0,1.1999652010091708e-5,0,5.8826124681971266e-5,0,0,0,0,13,0,169,0
2015-06-28,64743,318209,5,0,5,0,0,0,1.5712943379979825e-5,0,7.72284262391301e-5,0,0,0,0,14,0,196,0
2015-06-29,71477,392641,11,0,11,0,1,0,2.8015413571175704e-5,0,1.53895658743372e-4,0,2.5468557791977914e-6,0,0,15,0,225,0
2015-06-30,72885,369547,9,0,8,0,0,0,2.4354141692396366e-5,0,1.0976195376277698e-4,0,0,0,0,16,0,256,0
2015-07-01,75121,385414,10,1,10,1,1,0,2.5946125465084298e-5,2.59461254650843e-6,1.3311856870914924e-4,1.3311856870914924e-5,2.59461254650843e-6,0,0,17,0,289,0
2015-07-02,73176,363686,4,0,4,0,0,0,1.0998498704926778e-5,0,5.466273095003826e-5,0,0,0,0,18,0,324,0
2015-07-03,69295,339979,9,0,9,0,1,0,2.6472223284379328e-5,0,1.2987950068547513e-4,0,2.9413581427088144e-6,0,0,19,0,361,0
2015-07-04,67854,322823,10,0,10,0,0,0,3.097672718486601e-5,0,1.4737524685353847e-4,0,0,0,0,20,0,400,0
2015-07-05,65220,311657,6,0,4,0,0,0,1.9251934017204812e-5,0,6.133088009812941e-5,0,0,0,0,21,0,441,0
2015-07-06,72872,366958,3,0,3,0,0,0,8.175322516473276e-6,0,4.1168075529695904e-5,0,0,0,0,22,0,484,0
2015-07-07,73046,372688,2,0,2,0,0,0,5.36641909586571e-6,0,2.738000711880185e-5,0,0,0,0,23,0,529,0
2015-07-08,74004,377516,4,0,3,0,1,0,1.059557740599074e-5,0,4.0538349278417384e-5,0,2.648894351497685e-6,0,0,24,0,576,0
2015-07-09,74386,382108,3,0,3,0,0,0,7.851183435049776e-6,0,4.033016965558035e-5,0,0,0,0,25,0,625,0
2015-07-10,74135,385535,7,0,7,0,2,0,1.8156587599050668e-5,0,9.442233762730155e-5,0,5.18759645687162e-6,0,0,26,0,676,0
2015-07-11,66986,329334,7,1,7,1,0,0,2.1255017702393315e-5,3.0364311003419023e-6,1.0449944764577673e-4,1.4928492520825248e-5,0,0,0,27,0,729,0
2015-07-12,66240,329762,10,0,9,0,0,0,3.032490098919827e-5,0,1.358695652173913e-4,0,0,0,0,28,0,784,0
2015-07-13,73283,381887,9,0,9,0,0,0,2.3567180867638856e-5,0,1.2281156612038263e-4,0,0,0,0,29,0,841,0
2015-07-14,74881,391650,4,0,4,0,0,0,1.021320056172603e-5,0,5.341809003619076e-5,0,0,0,0,30,0,900,0
2015-07-15,75026,396257,9,0,8,0,0,0,2.2712532523084767e-5,0,1.0662970170340949e-4,0,0,0,0,31,0,961,0
2015-07-16,74921,385391,9,0,9,0,1,0,2.3352906528694236e-5,0,1.2012653328172342e-4,0,2.594767392077137e-6,0,0,32,0,1024,0
2015-07-17,73605,376874,7,0,7,0,0,0,1.857384696211466e-5,0,9.51022349025202e-5,0,0,0,0,33,0,1089,0
2015-07-18,66378,330487,5,0,5,0,0,0,1.5129188137506164e-5,0,7.532616228268403e-5,0,0,0,0,34,0,1156,0
2015-07-19,65472,329376,6,0,6,0,0,0,1.8216263480034977e-5,0,9.164222873900293e-5,0,0,0,0,35,0,1225,0
2015-07-20,73176,376020,2,0,2,0,0,0,5.318866017765012e-6,0,2.733136547501913e-5,0,0,0,0,36,0,1296,0
2015-07-21,73809,379020,5,1,5,1,0,0,1.319191599387895e-5,2.63838319877579e-6,6.774241623650233e-5,1.3548483247300465e-5,0,0,0,37,0,1369,0
2015-07-22,75514,402980,12,0,11,0,0,0,2.9778152761923667e-5,0,1.4566835288820615e-4,0,0,0,0,38,0,1444,0
2015-07-23,76065,414875,7,0,7,0,2,0,1.687255197348599e-5,0,9.202655623479919e-5,0,4.820729135281711e-6,0,0,39,0,1521,0
2015-07-24,73515,373341,4,0,4,0,0,0,1.0714065693293798e-5,0,5.441066449024009e-5,0,0,0,0,40,0,1600,0
2015-07-25,67304,338098,10,1,10,1,0,0,2.957722317197972e-5,2.9577223171979724e-6,1.4857957922263164e-4,1.4857957922263164e-5,0,0,0,41,0,1681,0
2015-07-26,66247,342922,6,1,5,1,0,0,1.7496690209435382e-5,2.916115034905897e-6,7.547511585430284e-5,1.5095023170860567e-5,0,0,0,42,0,1764,0
2015-07-27,73271,384423,10,0,10,0,0,0,2.601301170845657e-5,0,1.364796440610883e-4,0,0,0,0,43,0,1849,0
2015-07-28,74902,398091,3,0,3,0,1,0,7.535965394846907e-6,0,4.005233505113348e-5,0,2.511988464948969e-6,0,0,44,0,1936,0
2015-07-29,76355,412661,4,0,4,0,0,0,9.693186416937874e-6,0,5.2386877087289634e-5,0,0,0,0,45,0,2025,0
2015-07-30,75137,392540,7,0,7,0,1,0,1.7832577571712436e-5,0,9.316315530297988e-5,0,2.5475110816732053e-6,0,0,46,0,2116,0
2015-07-31,75372,408683,7,0,6,0,1,0,1.7128189819493348e-5,0,7.960515841426525e-5,0,2.4468842599276214e-6,0,0,47,0,2209,0
2015-08-01,68004,344517,10,0,9,0,2,0,2.902614384776368e-5,0,1.3234515616728428e-4,0,5.805228769552736e-6,0,0,48,0,2304,0
2015-08-02,66832,342147,3,0,3,0,0,0,8.768161053582232e-6,0,4.4888676083313385e-5,0,0,0,0,49,0,2401,0
2015-08-03,72247,370507,7,0,7,0,0,0,1.889303036109979e-5,0,9.688983625617673e-5,0,0,0,0,50,0,2500,0
2015-08-04,74365,396618,4,0,4,0,0,0,1.0085270966017679e-5,0,5.378874470517044e-5,0,0,0,0,51,0,2601,0
2015-08-05,74949,390594,9,0,8,0,0,0,2.304182859951766e-5,0,1.067392493562289e-4,0,0,0,0,52,0,2704,0
2015-08-06,75483,402169,3,1,3,1,0,0,7.459550586942305e-6,2.4865168623141016e-6,3.974404832876277e-5,1.324801610958759e-5,0,0,0,53,0,2809,0
2015-08-07,76189,415617,3,1,3,1,0,0,7.218184049256888e-6,2.406061349752296e-6,3.937576290540629e-5,1.3125254301802097e-5,0,0,0,54,0,2916,0
2015-08-08,68207,341972,8,0,7,0,0,0,2.339372814148527e-5,0,1.0262876244373745e-4,0,0,0,0,55,0,3025,0
2015-08-09,66631,342516,9,0,6,0,0,0,2.627614476404022e-5,0,9.004817577403911e-5,0,0,0,0,56,0,3136,0
2015-08-10,73452,392510,4,0,4,0,1,0,1.019082316374105e-5,0,5.445733267984534e-5,0,2.5477057909352627e-6,0,0,57,0,3249,0
2015-08-11,75579,406674,10,0,10,0,0,0,2.4589720513236647e-5,0,1.3231188557668135e-4,0,0,0,0,58,0,3364,0
2015-08-12,76245,411389,12,0,12,0,1,0,2.9169472202708387e-5,0,1.573873696635845e-4,0,2.430789350225699e-6,0,0,59,0,3481,0
2015-08-13,75721,398645,15,6,14,6,0,0,3.762746303101757e-5,1.505098521240703e-5,1.8488926453691842e-4,7.92382562301079e-5,0,0,0,60,0,3600,0
2015-08-14,75315,393530,3,2,3,2,0,0,7.62330699057251e-6,5.082204660381674e-6,3.983270264887473e-5,2.6555135099249817e-5,0,0,0,61,0,3721,0
2015-08-15,68575,356304,4,0,4,0,2,0,1.1226368494319457e-5,0,5.833029529711994e-5,0,5.613184247159728e-6,0,0,62,0,3844,0
2015-08-16,67558,360106,5,0,5,0,0,0,1.3884800586493978e-5,0,7.401047988395156e-5,0,0,0,0,63,0,3969,0
2015-08-17,73960,404542,13,0,8,0,3,0,3.2135105872814194e-5,0,1.0816657652785289e-4,0,7.415793662957122e-6,0,0,64,0,4096,0
2015-08-18,75009,405745,5,1,5,1,0,0,1.2323010757988391e-5,2.4646021515976783e-6,6.665866762655148e-5,1.3331733525310296e-5,0,0,0,65,0,4225,0
2015-08-19,75855,410715,10,3,9,2,1,0,2.4347783742984793e-5,7.304335122895438e-6,1.1864741941862764e-4,2.6366093204139476e-5,2.4347783742984797e-6,0,0,66,0,4356,0
2015-08-20,75903,403736,18,0,13,0,1,0,4.458358927616066e-5,0,1.7127122775120878e-4,0,2.4768660708978146e-6,0,0,67,0,4489,0
2015-08-21,76033,407306,9,0,9,0,1,0,2.2096409088007542e-5,0,1.1836965528125945e-4,0,2.4551565653341715e-6,0,0,68,0,4624,0
2015-08-22,69466,377091,5,1,5,1,0,0,1.3259398924927935e-5,2.651879784985587e-6,7.197765813491493e-5,1.4395531626982984e-5,0,0,0,69,0,4761,0
2015-08-23,69088,382018,2,0,2,0,0,0,5.235355402101472e-6,0,2.8948587308939323e-5,0,0,0,0,70,0,4900,0
2015-08-24,76123,417270,11,0,11,0,0,0,2.636182807295037e-5,0,1.445029754476308e-4,0,0,0,0,71,0,5041,0
2015-08-25,76370,415855,6,0,5,0,0,0,1.4428105950391362e-5,0,6.547073458164201e-5,0,0,0,0,72,0,5184,0
2015-08-26,78172,420475,7,0,7,0,0,0,1.6647838753790355e-5,0,8.954612904876427e-5,0,0,0,0,73,0,5329,0
2015-08-27,77280,405243,10,0,10,0,0,0,2.4676552093435295e-5,0,1.2939958592132506e-4,0,0,0,0,74,0,5476,0
2015-08-28,76394,401468,7,0,6,0,0,0,1.7436009843872988e-5,0,7.854019949210672e-5,0,0,0,0,75,0,5625,0
2015-08-29,70990,381359,6,0,6,0,0,0,1.5733206768425552e-5,0,8.451894633046909e-5,0,0,0,0,76,0,5776,0
2015-08-30,69916,535055,18,0,8,0,3,0,3.364140135126295e-5,0,1.1442302191200869e-4,0,5.606900225210493e-6,0,0,77,0,5929,0
