date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,65,5,55,5,4,1,1.6906962287069815e-4,1.300535560543832e-5,7.264850013869259e-4,6.604409103517508e-5,1.0404284484350655e-5,2.601071121087664e-6,0,3,0,9,0
2015-06-18,74171,361456,56,5,51,5,2,0,1.5492895400823336e-4,1.3832942322163694e-5,6.876002750401101e-4,6.741179167059903e-5,5.533176928865477e-6,0,0,4,0,16,0
2015-06-19,72441,340250,74,4,62,4,2,0,2.174871418074945e-4,1.1756061719324027e-5,8.558689140127829e-4,5.521734929114728e-5,5.8780308596620135e-6,0,0,5,0,25,0
2015-06-20,65711,301898,48,5,41,5,4,0,1.589940973441361e-4,1.6561885140014177e-5,6.239442406902954e-4,7.609076105979212e-5,1.3249508112011341e-5,0,0,6,0,36,0
2015-06-21,67140,309833,50,3,46,3,2,1,1.6137725807128356e-4,9.682635484277013e-6,6.851355376824546e-4,4.468275245755138e-5,6.455090322851342e-6,3.227545161425671e-6,0,7,0,49,0
2015-06-22,71306,337562,65,3,59,2,1,0,1.9255721911826568e-4,8.887256266996877e-6,8.27419852466833e-4,2.8048130592096036e-5,2.9624187556656258e-6,0,0,8,0,64,0
2015-06-23,72755,357780,52,6,48,6,4,0,1.4534071216948963e-4,1.677008217340265e-5,6.597484708954711e-4,8.246855886193389e-5,1.1180054782268433e-5,0,0,9,0,81,0
2015-06-24,73150,356657,57,2,50,2,1,1,1.5981741561219882e-4,5.607628617971889e-6,6.83526999316473e-4,2.734107997265892e-5,2.8038143089859446e-6,2.8038143089859446e-6,0,10,0,100,0
2015-06-25,73588,366612,61,5,52,4,4,0,1.6638844336792032e-4,1.3638396997370517e-5,7.066369516769038e-4,5.4356688590531064e-5,1.0910717597896414e-5,0,0,11,0,121,0
2015-06-26,77794,415664,71,10,59,8,7,1,1.7081103968590014e-4,2.4057892913507063e-5,7.584132452374219e-4,1.0283569426948094e-4,1.6840525039454945e-5,2.4057892913507065e-6,0,12,0,144,0
2015-06-27,67997,333343,41,1,40,1,1,0,1.2299643310344e-4,2.999913002522927e-6,5.882612468197126e-4,1.4706531170492816e-5,2.999913002522927e-6,0,0,13,0,169,0
2015-06-28,64743,318209,40,3,38,3,5,0,1.257035470398386e-4,9.427766027987895e-6,5.869360394173888e-4,4.633705574347806e-5,1.5712943379979825e-5,0,0,14,0,196,0
2015-06-29,71477,392641,46,0,38,0,2,0,1.1715536584309841e-4,0,5.316395483861942e-4,0,5.093711558395583e-6,0,0,15,0,225,0
2015-06-30,72885,369547,50,3,43,3,2,0,1.3530078717997982e-4,8.118047230798788e-6,5.899705014749262e-4,4.1160732661041366e-5,5.412031487199193e-6,0,0,16,0,256,0
2015-07-01,75121,385414,67,2,59,2,3,0,1.738390406160648e-4,5.18922509301686e-6,7.853995553839806e-4,2.662371374182985e-5,7.783837639525289e-6,0,0,17,0,289,0
