date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,43,2,34,2,4,2,1.1184605820676955e-4,5.202142242175328e-6,4.490998190391906e-4,2.6417636414070035e-5,1.0404284484350655e-5,5.202142242175328e-6,0,3,0,9,0
2015-06-18,74171,361456,44,2,37,2,1,0,1.217298924350405e-4,5.533176928865477e-6,4.988472583624328e-4,2.696471666823961e-5,2.7665884644327385e-6,0,0,4,0,16,0
2015-06-19,72441,340250,53,1,45,1,2,0,1.5576781778104334e-4,2.9390154298310068e-6,6.211951795254069e-4,1.380433732278682e-5,5.8780308596620135e-6,0,0,5,0,25,0
2015-06-20,65711,301898,47,2,46,2,1,0,1.5568172031613325e-4,6.624754056005671e-6,7.000350017500875e-4,3.043630442391685e-5,3.3123770280028354e-6,0,0,6,0,36,0
2015-06-21,67140,309833,31,3,30,3,1,0,1.000539000041958e-4,9.682635484277013e-6,4.4682752457551384e-4,4.468275245755138e-5,3.227545161425671e-6,0,0,7,0,49,0
2015-06-22,71306,337562,33,4,28,3,0,0,9.775981893696566e-5,1.1849675022662503e-5,3.926738282893445e-4,4.207219588814406e-5,0,0,0,8,0,64,0
2015-06-23,72755,357780,41,2,40,2,1,1,1.1459556151825143e-4,5.590027391134216e-6,5.497903924128926e-4,2.748951962064463e-5,2.795013695567108e-6,2.795013695567108e-6,0,9,0,81,0
2015-06-24,73150,356657,79,2,66,2,1,0,2.215013304098896e-4,5.607628617971889e-6,9.022556390977444e-4,2.734107997265892e-5,2.8038143089859446e-6,0,0,10,0,100,0
2015-06-25,73588,366612,57,1,54,1,0,0,1.554777257700239e-4,2.7276793994741035e-6,7.338152959721694e-4,1.3589172147632766e-5,0,0,0,11,0,121,0
2015-06-26,77794,415664,59,3,57,3,3,1,1.4194156818969167e-4,7.217367874052119e-6,7.327043216700516e-4,3.856338535105535e-5,7.217367874052119e-6,2.4057892913507065e-6,0,12,0,144,0
2015-06-27,67997,333343,52,2,48,2,3,0,1.559954761311922e-4,5.999826005045854e-6,7.059134961836552e-4,2.9413062340985633e-5,8.999739007568781e-6,0,0,13,0,169,0
2015-06-28,64743,318209,60,5,57,5,2,0,1.8855532055975788e-4,1.5712943379979825e-5,8.804040591260831e-4,7.72284262391301e-5,6.28517735199193e-6,0,0,14,0,196,0
2015-06-29,71477,392641,74,6,68,6,3,0,1.8846732766063655e-4,1.528113467518675e-5,9.513549813226633e-4,8.394308658729382e-5,7.640567337593374e-6,0,0,15,0,225,0
2015-06-30,72885,369547,72,3,53,2,5,0,1.9483313353917093e-4,8.118047230798788e-6,7.271729436783975e-4,2.7440488440694244e-5,1.3530078717997982e-5,0,0,16,0,256,0
2015-07-01,75121,385414,45,1,39,1,2,0,1.1675756459287935e-4,2.59461254650843e-6,5.19162417965682e-4,1.3311856870914924e-5,5.18922509301686e-6,0,0,17,0,289,0
2015-07-02,73176,363686,49,1,43,1,2,0,1.3473160913535302e-4,2.7496246762316945e-6,5.876243577129113e-4,1.3665682737509566e-5,5.499249352463389e-6,0,0,18,0,324,0
2015-07-03,69295,339979,60,3,55,3,4,1,1.7648148856252887e-4,8.824074428126443e-6,7.937080597445704e-4,4.329316689515838e-5,1.1765432570835258e-5,2.9413581427088144e-6,0,19,0,361,0
2015-07-04,67854,322823,57,2,54,2,2,0,1.7656734495373626e-4,6.195345436973202e-6,7.958263330091078e-4,2.9475049370707695e-5,6.195345436973202e-6,0,0,20,0,400,0
2015-07-05,65220,311657,47,2,45,2,4,1,1.5080681646810435e-4,6.417311339068271e-6,6.899724011039559e-4,3.0665440049064704e-5,1.2834622678136542e-5,3.2086556695341355e-6,0,21,0,441,0
2015-07-06,72872,366958,42,5,39,5,4,1,1.1445451523062585e-4,1.3625537527455458e-5,5.351849818860467e-4,6.861345921615984e-5,1.0900430021964366e-5,2.7251075054910915e-6,0,22,0,484,0
2015-07-07,73046,372688,39,1,31,1,4,0,1.0464517236938135e-4,2.683209547932855e-6,4.2439011034142867e-4,1.3690003559400925e-5,1.073283819173142e-5,0,0,23,0,529,0
2015-07-08,74004,377516,70,5,53,3,2,0,1.8542260460483793e-4,1.3244471757488425e-5,7.161775039187071e-4,4.0538349278417384e-5,5.29778870299537e-6,0,0,24,0,576,0
2015-07-09,74386,382108,48,9,35,8,6,1,1.2561893496079642e-4,2.355355030514933e-5,4.7051864598177074e-4,1.075471190815476e-4,1.5702366870099553e-5,2.617061145016592e-6,0,25,0,625,0
2015-07-10,74135,385535,62,3,56,3,3,0,1.6081549016302022e-4,7.78139468530743e-6,7.553787010184124e-4,4.046671612598637e-5,7.78139468530743e-6,0,0,26,0,676,0
2015-07-11,66986,329334,35,1,34,1,3,0,1.0627508851196658e-4,3.0364311003419023e-6,5.075687457080584e-4,1.4928492520825248e-5,9.109293301025706e-6,0,0,27,0,729,0
2015-07-12,66240,329762,46,5,38,4,4,0,1.3949454455031203e-4,1.5162450494599135e-5,5.73671497584541e-4,6.038647342995169e-5,1.2129960395679308e-5,0,0,28,0,784,0
2015-07-13,73283,381887,48,1,35,1,3,0,1.2569163129407391e-4,2.618575651959873e-6,4.776005349125991e-4,1.3645729568931404e-5,7.85572695587962e-6,0,0,29,0,841,0
2015-07-14,74881,391650,47,2,34,2,0,0,1.2000510660028086e-4,5.106600280863015e-6,4.540537653076214e-4,2.670904501809538e-5,0,0,0,30,0,900,0
2015-07-15,75026,396257,56,3,45,3,6,0,1.41322424588083e-4,7.570844174361588e-6,5.997920720816783e-4,3.998613813877856e-5,1.5141688348723176e-5,0,0,31,0,961,0
2015-07-16,74921,385391,62,6,54,4,3,0,1.608755783087825e-4,1.5568604352462823e-5,7.207591996903405e-4,5.3389570347432626e-5,7.784302176231412e-6,0,0,32,0,1024,0
