date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,103,2,88,2,4,0,2.679103254720294e-4,5.202142242175328e-6,0.0011623760022190814,2.6417636414070035e-5,1.0404284484350655e-5,0,0,3,0,9,0
2015-06-18,74171,361456,62,6,57,6,1,0,1.715284847948298e-4,1.6599530786596433e-5,7.684944250448289e-4,8.089415000471883e-5,2.7665884644327385e-6,0,0,4,0,16,0
2015-06-19,72441,340250,89,6,71,6,1,0,2.615723732549596e-4,1.763409257898604e-5,9.801079499178642e-4,8.282602393672091e-5,2.9390154298310068e-6,0,0,5,0,25,0
2015-06-20,65711,301898,60,2,56,2,7,0,1.9874262168017011e-4,6.624754056005671e-6,8.522165238696718e-4,3.043630442391685e-5,2.318663919601985e-5,0,0,6,0,36,0
2015-06-21,67140,309833,62,1,55,1,4,0,2.001078000083916e-4,3.227545161425671e-6,8.191837950551087e-4,1.4894250819183795e-5,1.2910180645702685e-5,0,0,7,0,49,0
2015-06-22,71306,337562,54,1,52,1,4,0,1.599706128059438e-4,2.9624187556656258e-6,7.29251395394497e-4,1.4024065296048018e-5,1.1849675022662503e-5,0,0,8,0,64,0
2015-06-23,72755,357780,56,2,53,2,4,0,1.5652076695175807e-4,5.590027391134216e-6,7.284722699470827e-4,2.748951962064463e-5,1.1180054782268433e-5,0,0,9,0,81,0
2015-06-24,73150,356657,98,5,74,5,3,0,2.7477380228062254e-4,1.4019071544929722e-5,0.00101161995898838,6.83526999316473e-5,8.411442926957833e-6,0,0,10,0,100,0
2015-06-25,73588,366612,85,3,67,3,7,0,2.318527489552988e-4,8.18303819842231e-6,9.104745338913954e-4,4.07675164428983e-5,1.9093755796318723e-5,0,0,11,0,121,0
2015-06-26,77794,415664,90,10,70,9,9,3,2.1652103622156357e-4,2.4057892913507063e-5,8.998123248579582e-4,1.1569015605316605e-4,2.1652103622156356e-5,7.217367874052119e-6,0,12,0,144,0
2015-06-27,67997,333343,56,4,51,4,6,1,1.679951281412839e-4,1.1999652010091708e-5,7.500330896951336e-4,5.8826124681971266e-5,1.7999478015137562e-5,2.999913002522927e-6,0,13,0,169,0
2015-06-28,64743,318209,78,8,58,6,9,1,0.00024512191672768524,2.514070940796772e-5,8.958497443739092e-4,9.267411148695612e-5,2.8283298083963684e-5,3.142588675995965e-6,0,14,0,196,0
2015-06-29,71477,392641,95,5,74,5,7,1,2.4195129902379017e-4,1.2734278895988957e-5,0.001035298067909957,6.995257215607818e-5,1.7827990454384538e-5,2.5468557791977914e-6,0,15,0,225,0
2015-06-30,72885,369547,89,10,73,8,5,0,2.4083540118036406e-4,2.7060157435995964e-5,0.00100157782808534,1.0976195376277698e-4,1.3530078717997982e-5,0,0,16,0,256,0
2015-07-01,75121,385414,91,7,81,7,8,1,2.3610974173226713e-4,1.816228782555901e-5,0.0010782604065441089,9.318299809640447e-5,2.075690037206744e-5,2.59461254650843e-6,0,17,0,289,0
