date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,70,36,60,34,8,2,1.8207497847613646e-4,9.36385603591559e-5,7.92529092422101e-4,4.490998190391906e-4,2.080856896870131e-5,5.202142242175328e-6,0,3,0,9,0
2015-06-18,74171,361456,71,23,64,22,3,0,1.9642778097472445e-4,6.363153468195298e-5,8.628709333836675e-4,2.966118833506357e-4,8.299765393298216e-6,0,0,4,0,16,0
2015-06-19,72441,340250,74,23,56,23,2,2,2.174871418074945e-4,6.759735488611316e-5,7.730428900760619e-4,3.1749975842409686e-4,5.8780308596620135e-6,5.8780308596620135e-6,0,5,0,25,0
2015-06-20,65711,301898,49,21,44,21,1,1,1.6230647437213893e-4,6.955991758805955e-5,6.695986973261706e-4,3.195811964511269e-4,3.3123770280028354e-6,3.3123770280028354e-6,0,6,0,36,0
2015-06-21,67140,309833,47,22,45,22,4,1,1.5169462258700654e-4,7.100599355136477e-5,6.702412868632708e-4,3.276735180220435e-4,1.2910180645702685e-5,3.227545161425671e-6,0,7,0,49,0
2015-06-22,71306,337562,66,28,57,27,6,3,1.955196378739313e-4,8.294772515863753e-5,7.993717218747371e-4,3.7864976299329647e-4,1.7774512533993755e-5,8.887256266996877e-6,0,8,0,64,0
2015-06-23,72755,357780,74,28,65,28,5,0,2.0683101347196601e-4,7.826038347587903e-5,8.934093876709504e-4,3.8485327468902483e-4,1.3975068477835541e-5,0,0,9,0,81,0
2015-06-24,73150,356657,46,22,41,20,6,5,1.2897545821335344e-4,6.168391479769078e-5,5.604921394395079e-4,2.734107997265892e-4,1.6822885853915666e-5,1.4019071544929722e-5,0,10,0,100,0
2015-06-25,73588,366612,63,23,52,22,5,2,1.7184380216686852e-4,6.273662618790438e-5,7.066369516769038e-4,2.9896178724792086e-4,1.3638396997370517e-5,5.455358798948207e-6,0,11,0,121,0
2015-06-26,77794,415664,120,68,90,57,16,12,2.8869471496208475e-4,1.6359367181184803e-4,0.0011569015605316605,7.327043216700516e-4,3.8492628661611304e-5,2.8869471496208475e-5,0,12,0,144,0
2015-06-27,67997,333343,93,50,76,40,5,2,2.789919092346322e-4,1.4999565012614635e-4,0.001117696368957454,5.882612468197126e-4,1.4999565012614633e-5,5.999826005045854e-6,0,13,0,169,0
2015-06-28,64743,318209,79,31,71,31,4,4,2.4826450540368125e-4,9.742024895587492e-5,0.0010966436525956475,4.788162426826066e-4,1.257035470398386e-5,1.257035470398386e-5,0,14,0,196,0
2015-06-29,71477,392641,69,28,64,28,4,1,1.757330487646476e-4,7.131196181753815e-5,8.953929235978007e-4,3.917344040740378e-4,1.0187423116791166e-5,2.5468557791977914e-6,0,15,0,225,0
2015-06-30,72885,369547,73,32,62,29,5,1,1.9753914928277052e-4,8.659250379518709e-5,8.506551416615216e-4,3.9788708239006654e-4,1.3530078717997982e-5,2.7060157435995965e-6,0,16,0,256,0
2015-07-01,75121,385414,68,29,54,24,2,0,1.7643365316257325e-4,7.524376384874447e-5,7.188402710294059e-4,3.194845649019582e-4,5.18922509301686e-6,0,0,17,0,289,0
2015-07-02,73176,363686,65,26,61,26,3,2,1.7872560395506014e-4,7.149024158202405e-5,8.336066469880835e-4,3.553077511752487e-4,8.248874028695083e-6,5.499249352463389e-6,0,18,0,324,0
2015-07-03,69295,339979,68,25,54,22,3,1,2.0001235370419937e-4,7.353395356772037e-5,7.792770041128509e-4,3.1748322389782814e-4,8.824074428126443e-6,2.9413581427088144e-6,0,19,0,361,0
2015-07-04,67854,322823,42,19,39,19,2,0,1.3010225417643724e-4,5.8855781651245416e-5,5.747634627288001e-4,2.800129690217231e-4,6.195345436973202e-6,0,0,20,0,400,0
2015-07-05,65220,311657,61,31,45,25,1,1,1.9572799584158224e-4,9.946832575555819e-5,6.899724011039559e-4,3.833180006133088e-4,3.2086556695341355e-6,3.2086556695341355e-6,0,21,0,441,0
2015-07-06,72872,366958,50,22,44,20,5,5,1.3625537527455457e-4,5.995236512080402e-5,6.037984411022066e-4,2.7445383686463935e-4,1.3625537527455458e-5,1.3625537527455458e-5,0,22,0,484,0
2015-07-07,73046,372688,80,28,74,27,7,3,2.1465676383462844e-4,7.512986734211995e-5,0.0010130602633956684,3.69630096103825e-4,1.8782466835529988e-5,8.049628643798566e-6,0,23,0,529,0
2015-07-08,74004,377516,117,43,95,38,5,1,3.0992063912522913e-4,1.1390245711440044e-4,0.0012837143938165504,5.134857575266201e-4,1.3244471757488425e-5,2.648894351497685e-6,0,24,0,576,0
2015-07-09,74386,382108,74,41,64,36,2,1,1.9366252473122783e-4,1.0729950694568028e-4,8.603769526523809e-4,4.8396203586696424e-4,5.234122290033184e-6,2.617061145016592e-6,0,25,0,625,0
2015-07-10,74135,385535,84,36,71,33,6,3,2.1787905118860805e-4,9.337673622368916e-5,9.577122816483443e-4,4.451338773858501e-4,1.556278937061486e-5,7.78139468530743e-6,0,26,0,676,0
2015-07-11,66986,329334,68,32,57,29,12,2,2.0647731482324933e-4,9.716579521094087e-5,8.509240736870391e-4,4.3292628310393215e-4,3.6437173204102824e-5,6.072862200683805e-6,0,27,0,729,0
2015-07-12,66240,329762,53,25,47,25,3,1,1.6072197524275082e-4,7.581225247299567e-5,7.095410628019323e-4,3.7741545893719806e-4,9.09747029675948e-6,3.032490098919827e-6,0,28,0,784,0
2015-07-13,73283,381887,62,31,53,28,5,2,1.6235169042151212e-4,8.117584521075606e-5,7.232236671533644e-4,3.8208042793007926e-4,1.3092878259799365e-5,5.237151303919746e-6,0,29,0,841,0
2015-07-14,74881,391650,69,21,56,21,6,2,1.7617770968977403e-4,5.361930294906166e-5,7.478532605066706e-4,2.804449726900015e-4,1.5319800842589045e-5,5.106600280863015e-6,0,30,0,900,0
2015-07-15,75026,396257,89,31,62,26,18,5,2.2460171050606045e-4,7.823205646840308e-5,8.263801882014235e-4,3.465465305360808e-4,4.5425065046169534e-5,1.2618073623935982e-5,0,31,0,961,0
