"","date","unique_users","tweet_count","freq","freq_hate","freq_upd","freq_upd_hate","freq_rt","freq_rt_hate","norm","norm_hate","norm_upd","norm_upd_hate","norm_rt","norm_rt_hate","election","date_num","slope_change","slope_change2","date_num2"
"1",2015-06-17,605656,3075656,4225,806,3196,683,1544,178,0.0109895254865954,0.00209646332359666,0.0422153829896839,0.00902162283540492,0.00401605381095935,0.000462990659553604,0,1,0,0,1
"2",2015-06-18,593368,2891648,3327,661,2586,559,1006,139,0.00920443982116772,0.00182871497499004,0.0348653786520338,0.00753663830877297,0.00278318799521933,0.000384555796556151,0,2,0,0,4
"3",2015-06-19,579528,2722000,3392,636,2706,554,1156,148,0.00996914033798677,0.00186921381337252,0.0373545367954611,0.0076476028768239,0.00339750183688464,0.000434974283614989,0,3,0,0,9
"4",2015-06-20,525688,2415184,2867,627,2370,548,954,136,0.00949658493928413,0.00207686039655778,0.0360670207423415,0.00833954741215322,0.0031600076847147,0.000450483275808386,0,4,0,0,16
"5",2015-06-21,537120,2478664,2746,598,2315,536,856,140,0.00886283901327489,0.00193007200653255,0.0344801906464105,0.00798331843908251,0.00276277865818037,0.000451856322599594,0,5,0,0,25
"6",2015-06-22,570448,2700496,3199,666,2607,567,1020,151,0.00947677759937434,0.00197297089127331,0.0365607382267972,0.00795164502285923,0.00302166713077894,0.000447325232105509,0,6,0,0,36
"7",2015-06-23,582040,2862240,3685,771,2982,658,1181,183,0.0102996254681648,0.00215495555928224,0.0409868737543811,0.00904405195519208,0.00330091117446475,0.000511487506288781,0,7,0,0,49
"8",2015-06-24,585200,2853256,3412,638,2803,552,1019,149,0.00956661442226004,0.00178883352913303,0.0383185235816815,0.00754613807245386,0.00285708678085668,0.000417768332038906,0,8,0,0,64
"9",2015-06-25,588704,2932896,3968,743,3027,609,1155,146,0.0108234318571132,0.00202666579380926,0.0411344240908844,0.00827580583790835,0.00315046970639259,0.000398241192323219,0,9,0,0,81
"10",2015-06-26,622352,3325312,4164,822,3226,668,1436,193,0.0100177066091843,0.00197755879749028,0.0414684937141682,0.00858678047150166,0.00345471342237961,0.000464317333230686,0,10,0,0,100
"11",2015-06-27,543976,2666744,3098,690,2563,597,1007,131,0.00929373048181603,0.00206993997174082,0.0376928393899731,0.00877979910878421,0.00302091239354059,0.000392988603330503,0,11,0,0,121
"12",2015-06-28,517944,2545672,3288,656,2617,541,1200,135,0.0103328315666747,0.00206153817145335,0.0404213582935607,0.00835611571907388,0.00377110641119516,0.000424249471259455,0,12,0,0,144
"13",2015-06-29,571816,3141128,5398,1055,3496,810,2129,283,0.0137479274961097,0.00268693284705367,0.0489108384515299,0.0113323166892847,0.0054222559539121,0.000720760185512975,0,13,0,0,169
"14",2015-06-30,583080,2956376,3468,682,2813,591,1128,154,0.0093844625988034,0.00184550273713492,0.0385950469918365,0.00810866433422515,0.00305238575878034,0.000416726424514338,0,14,0,0,196
"15",2015-07-01,600968,3083312,3785,748,3073,654,1137,159,0.00982060848853441,0.00194077018478831,0.0409073361643216,0.00870595439357836,0.00295007446538008,0.00041254339489484,0,15,0,0,225
"16",2015-07-02,585408,2909488,3500,647,2820,571,1081,131,0.00962368636681093,0.00177900716552191,0.038537225319777,0.00780310484311796,0.00297234427500646,0.000360200832586352,0,16,0,0,256
"17",2015-07-03,554360,2719832,3333,684,2664,592,1056,168,0.00980354668964848,0.00201188896961283,0.0384443322029006,0.00854318493397792,0.00310607419870051,0.000494148167975081,0,17,0,0,289
"18",2015-07-04,542832,2582584,2786,537,2319,484,876,107,0.00863011619370367,0.0016634502498273,0.0341763197453356,0.00713296194771126,0.00271356130139426,0.000331450980878066,0,18,0,0,324
"19",2015-07-05,521760,2493256,2464,490,2072,439,795,114,0.00790612756973211,0.00157224127807173,0.031769395890831,0.0067310640907697,0.00255088125727964,0.000365786746326891,0,19,0,0,361
"20",2015-07-06,582976,2935664,3486,695,2727,581,1252,167,0.00949972476414195,0.00189394971631631,0.0374217806564936,0.00797288396091777,0.00341183459687485,0.000455092953417012,0,20,0,0,400
"21",2015-07-07,584368,2981504,4355,751,3370,654,1695,171,0.0116853775812476,0.00201509037049757,0.0461353119951811,0.00895326232784821,0.00454804018374619,0.000458828832696518,0,21,0,0,441
"22",2015-07-08,592032,3020128,4250,791,3405,672,1455,152,0.0112578009938652,0.00209527543203467,0.0460110264310037,0.00908059023836549,0.00385414128142913,0.000402631941427648,0,22,0,0,484
"23",2015-07-09,595088,3056864,3992,725,3178,624,1520,164,0.0104473080909062,0.00189736933013703,0.0427230930551448,0.00838867528836071,0.00397793294042522,0.000429198027782721,0,23,0,0,529
"24",2015-07-10,593080,3084280,3615,726,2831,633,1120,170,0.00937658059579545,0.0018830975138444,0.0381870911175558,0.00853847710258313,0.00290505401584811,0.000440945698834088,0,24,0,0,576
"25",2015-07-11,535888,2634672,2901,591,2362,510,953,130,0.00880868662209186,0.00179453078030206,0.0352610993341892,0.00761353118562088,0.00289371883862583,0.000394736043044447,0,25,0,0,625
"26",2015-07-12,529920,2638096,3055,697,2372,588,1009,122,0.00926425725220007,0.00211364559894712,0.0358091787439614,0.0088768115942029,0.00305978250981011,0.000369963792068219,0,26,0,0,676
"27",2015-07-13,586264,3055096,3602,760,2913,635,1221,189,0.00943210949835946,0.0019901174954895,0.0397500102342972,0.00866503827627144,0.003197280871043,0.000494910798220416,0,27,0,0,729
"28",2015-07-14,599048,3133200,4095,735,3144,662,1609,161,0.010455764075067,0.00187667560321716,0.0419866187684459,0.00884069390098957,0.0041082599259543,0.000411081322609473,0,28,0,0,784
"29",2015-07-15,600208,3170056,3908,711,2937,610,1427,164,0.00986228634446836,0.0017942900693237,0.0391464292378642,0.00813051475488497,0.00360119821227133,0.0004138728148651,0,29,0,0,841
"30",2015-07-16,599368,3083128,3700,763,2947,658,1247,186,0.00960063935068541,0.00197980752015486,0.039334765953471,0.00878258432215267,0.00323567493792019,0.000482626734926348,0,30,0,0,900
"31",2015-07-17,588840,3014992,3796,713,2980,615,1348,150,0.0100723318668839,0.00189187898342682,0.0404863800013586,0.00835541063786428,0.00357679224356151,0.000398011006331028,0,31,0,0,961
"32",2015-07-18,531024,2643896,3579,621,2604,550,1420,126,0.0108294728688269,0.00187904516667827,0.0392298653168218,0.00828587785109524,0.00429668943105175,0.000381255541065155,0,32,0,0,1024
