date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,16,8,16,8,7,6,8.60821331152586e-5,4.30410665576293e-5,1.297563823920589e-4,6.487819119602945e-5,3.766093323792563e-5,3.2280799918221975e-5,0,1,0,1,0
2015-06-18,239572,155849,27,4,27,4,10,1,1.127009834204331e-4,1.6696441988212313e-5,1.7324461497988437e-4,2.5665868885908795e-5,4.174110497053078e-5,4.174110497053078e-6,0,2,0,4,0
2015-06-19,158757,106903,5,1,5,1,1,0,3.1494674250584225e-5,6.298934850116846e-6,4.677137217851697e-5,9.354274435703394e-6,6.298934850116846e-6,0,0,3,0,9,0
2015-06-20,124724,93928,7,0,5,0,1,0,5.612392161893461e-5,0,5.323226300996508e-5,0,8.01770308841923e-6,0,0,4,0,16,0
2015-06-21,71790,52531,7,4,7,4,1,1,9.750661652040675e-5,5.5718066583089564e-5,1.3325464963545336e-4,7.614551407740191e-5,1.3929516645772391e-5,1.3929516645772391e-5,0,5,0,25,0
2015-06-22,62404,45764,4,0,3,0,0,0,6.409845522722902e-5,0,6.555371034000524e-5,0,0,0,0,6,0,36,0
2015-06-23,50630,38703,2,0,2,0,0,0,3.9502271380604385e-5,0,5.167558070433817e-5,0,0,0,0,7,0,49,0
2015-06-24,59852,44742,19,3,17,3,6,0,3.174497092828978e-4,5.012363830782597e-5,3.7995619328595054e-4,6.705109293281481e-5,1.0024727661565194e-4,0,0,8,0,64,0
2015-06-25,173344,106682,3,1,3,1,0,0,1.73066272844748e-5,5.7688757614916006e-6,2.8120957612343224e-5,9.373652537447741e-6,0,0,0,9,0,81,0
2015-06-26,179412,111224,6,1,6,1,1,0,3.344257909169955e-5,5.5737631819499255e-6,5.3945191685247786e-5,8.990865280874631e-6,5.5737631819499255e-6,0,0,10,0,100,0
2015-06-27,141857,91458,9,3,8,3,4,1,6.344417265274185e-5,2.114805755091395e-5,8.747184499989066e-5,3.2801941874959e-5,2.8197410067885265e-5,7.049352516971316e-6,0,11,0,121,0
2015-06-28,96840,67562,5,0,4,0,2,0,5.163155720776539e-5,0,5.9204878481986913e-5,0,2.0652622883106156e-5,0,0,12,0,144,0
2015-06-29,250334,150343,14,3,14,3,2,1,5.592528382081539e-5,1.1983989390174727e-5,9.312039802318698e-5,1.9954371004968638e-5,7.989326260116484e-6,3.994663130058242e-6,0,13,0,169,0
2015-06-30,310688,183127,11,4,11,4,3,1,3.540529405706046e-5,1.2874652384385621e-5,6.0067603357232956e-5,2.184276485717562e-5,9.655989288289216e-6,3.2186630960964052e-6,0,14,0,196,0
2015-07-01,307686,181455,19,4,19,4,6,0,6.175126590095097e-5,1.3000266505463362e-5,1.0470915654018903e-4,2.204403295582927e-5,1.9500399758195042e-5,0,0,15,0,225,0
2015-07-02,315123,181043,24,10,21,10,7,3,7.616073723593645e-5,3.173364051497352e-5,1.159945427329419e-4,5.523549653949614e-5,2.2213548360481462e-5,9.520092154492056e-6,0,16,0,256,0
2015-07-03,227649,144096,19,4,18,4,4,0,8.346182060979842e-5,1.7570909602062826e-5,1.2491672218520986e-4,2.7759271596713303e-5,1.7570909602062826e-5,0,0,17,0,289,0
2015-07-04,163256,95956,14,0,14,0,5,0,8.575488802861763e-5,0,1.4590020426028595e-4,0,3.06267457245063e-5,0,0,18,0,324,0
2015-07-05,161806,96182,14,4,14,4,5,1,8.652336748946269e-5,2.4720962139846483e-5,1.4555738079890208e-4,4.15878230854006e-5,3.09012026748081e-5,6.180240534961621e-6,0,19,0,361,0
2015-07-06,182295,115760,17,0,17,0,8,0,9.325543761485504e-5,0,1.468555632342778e-4,0,4.3884911818755315e-5,0,0,20,0,400,0
2015-07-07,207599,124396,29,4,28,4,18,1,1.3969238772826458e-4,1.926791554872615e-5,2.2508762339625067e-4,3.2155374770892955e-5,8.670561996926767e-5,4.816978887181538e-6,0,21,0,441,0
2015-07-08,129766,76623,40,25,37,23,25,20,3.0824715256692816e-4,1.926544703543301e-4,4.828837294285006e-4,3.001709669420409e-4,1.926544703543301e-4,1.5412357628346408e-4,0,22,0,484,0
2015-07-09,266406,136579,16,1,15,1,4,0,6.0058707386470275e-5,3.753669211654392e-6,1.0982654727300683e-4,7.321769818200456e-6,1.5014676846617569e-5,0,0,23,0,529,0
2015-07-10,209770,111370,24,1,24,1,13,0,1.1441102159508032e-4,4.767125899795014e-6,2.1549788991649457e-4,8.979078746520608e-6,6.197263669733518e-5,0,0,24,0,576,0
2015-07-11,191932,87589,28,2,27,2,14,0,1.4588500093783214e-4,1.0420357209845154e-5,3.082578862642569e-4,2.283391750105607e-5,7.294250046891607e-5,0,0,25,0,625,0
2015-07-12,259211,135275,43,5,43,5,23,3,1.6588802172747298e-4,1.9289304852031742e-5,3.1787100351136574e-4,3.6961744594344855e-5,8.873080231934601e-5,1.1573582911219045e-5,0,26,0,676,0
2015-07-13,355705,206020,18,2,18,2,6,0,5.0603730619474e-5,5.622636735497111e-6,8.737015823706436e-5,9.707795359673818e-6,1.6867910206491334e-5,0,0,27,0,729,0
2015-07-14,273404,168274,49,4,46,4,19,0,1.792219572500768e-4,1.4630363857149128e-5,2.733636806636795e-4,2.3770754840319954e-5,6.949422832145836e-5,0,0,28,0,784,0
2015-07-15,212582,129561,11,1,11,1,4,0,5.1744738500907885e-5,4.704067136446171e-6,8.490209245066031e-5,7.718372040969119e-6,1.8816268545784684e-5,0,0,29,0,841,0
2015-07-16,170257,105287,27,8,27,8,15,6,1.585837880380836e-4,4.698778904832107e-5,2.564419159060473e-4,7.598278989808808e-5,8.8102104465602e-5,3.52408417862408e-5,0,30,0,900,0
2015-07-17,234700,151274,17,2,14,2,4,0,7.243289305496379e-5,8.521516829995738e-6,9.254729827994235e-5,1.3221042611420337e-5,1.7043033659991477e-5,0,0,31,0,961,0
2015-07-18,324246,166728,184,5,181,5,139,0,5.674703774294826e-4,1.5420390691018547e-5,0.001085600499016362,2.9988964061225468e-5,4.2868686121031563e-4,0,0,32,0,1024,0
2015-07-19,298763,155182,77,13,77,13,45,6,2.577293707721505e-4,4.351275090958385e-5,4.961915686097615e-4,8.377260249255713e-5,1.5062106084086718e-4,2.0082808112115624e-5,0,33,0,1089,0
2015-07-20,318564,161569,54,7,54,7,30,2,1.6951067917278788e-4,2.1973606559435465e-5,3.342225303121267e-4,4.332514281823865e-5,9.417259954043771e-5,6.278173302695848e-6,0,34,0,1156,0
2015-07-21,374953,184864,45,7,44,7,12,0,1.2001504188524962e-4,1.8669006515483272e-5,2.3801280941665223e-4,3.7865674225376495e-5,3.20040111693999e-5,0,0,35,0,1225,0
2015-07-22,306448,164409,30,2,27,2,13,0,9.78958909831358e-5,6.526392732209053e-6,1.6422458624527854e-4,1.2164784166316929e-5,4.2421552759358846e-5,0,0,36,0,1296,0
2015-07-23,364702,196448,21,2,20,2,3,1,5.7581258123070345e-5,5.483929345054319e-6,1.0180811207036976e-4,1.0180811207036976e-5,8.225894017581477e-6,2.7419646725271593e-6,0,37,0,1369,0
2015-07-24,232124,135070,20,4,19,4,5,0,8.61608450655684e-5,1.7232169013113682e-5,1.406678018805064e-4,2.961427408010661e-5,2.15402112663921e-5,0,0,38,0,1444,0
2015-07-25,152287,84262,65,7,63,7,46,3,4.268256646988909e-4,4.596584081372671e-5,7.476679879423702e-4,8.307422088248559e-5,3.020612396330613e-4,1.9699646063025736e-5,0,39,0,1521,0
2015-07-26,160889,83248,39,2,39,2,23,0,2.4240314751163846e-4,1.2430930641622486e-5,4.6847972323659426e-4,2.4024601191620218e-5,1.4295570237865857e-4,0,0,40,0,1600,0
2015-07-27,172456,96164,23,0,21,0,12,0,1.3336735167231062e-4,0,2.1837693939519986e-4,0,6.958296608990119e-5,0,0,41,0,1681,0
2015-07-28,243883,130794,27,7,26,7,6,0,1.1070882349323241e-4,2.8702287572319514e-5,1.9878587702799823e-4,5.351927458446106e-5,2.4601960776273868e-5,0,0,42,0,1764,0
2015-07-29,207382,115840,21,3,21,3,6,2,1.0126240464456896e-4,1.4466057806366995e-5,1.8128453038674034e-4,2.589779005524862e-5,2.893211561273399e-5,9.644038537577996e-6,0,43,0,1849,0
2015-07-30,195376,111224,22,3,22,3,10,0,1.1260339038571779e-4,1.5355007779870607e-5,1.977990361792419e-4,2.6972595842623893e-5,5.118335926623536e-5,0,0,44,0,1936,0
2015-07-31,149325,87855,20,8,19,7,8,4,0.00013393604553825548,5.357441821530219e-5,2.162654373683911e-4,7.967674008309146e-5,5.357441821530219e-5,2.6787209107651096e-5,0,45,0,2025,0
2015-08-01,106443,63909,15,7,14,7,1,0,1.4092049265804234e-4,6.576289657375309e-5,2.1906147803908683e-4,1.0953073901954341e-4,9.394699510536155e-6,0,0,46,0,2116,0
2015-08-02,125589,73272,11,1,11,1,1,0,8.758728869566602e-5,7.962480790515093e-6,1.501255595589038e-4,1.3647778141718529e-5,7.962480790515093e-6,0,0,47,0,2209,0
2015-08-03,156202,86724,36,2,32,2,12,0,2.304708006299535e-4,1.280393336833075e-5,3.689866703565334e-4,2.3061666897283336e-5,7.68236002099845e-5,0,0,48,0,2304,0
2015-08-04,212702,122672,20,1,19,1,8,0,9.402826489642786e-5,4.701413244821393e-6,1.548845702360767e-4,8.151819486109299e-6,3.7611305958571144e-5,0,0,49,0,2401,0
2015-08-05,189473,107461,30,1,30,1,16,0,1.583339050946573e-4,5.277796836488576e-6,2.791710481011716e-4,9.305701603372386e-6,8.444474938381721e-5,0,0,50,0,2500,0
2015-08-06,112618,68662,19,0,18,0,9,0,1.6871192882132518e-4,0,2.621537386035944e-4,0,7.99161768101014e-5,0,0,51,0,2601,0
2015-08-07,1052480,494723,269,23,262,23,130,7,2.5558680449984795e-4,2.1853146853146853e-5,5.295892853172382e-4,4.649066245151327e-5,1.2351778656126481e-4,6.650957737914259e-6,0,52,0,2704,0
2015-08-08,576309,244205,132,13,128,12,81,0,2.29043794214562e-4,2.255734336961595e-5,5.241497921827972e-4,4.913904301713724e-5,1.4054960099529938e-4,0,0,53,0,2809,0
2015-08-09,416290,181172,146,9,138,8,98,2,3.507170482115833e-4,2.1619544067837326e-5,7.617071070584858e-4,4.415693374252092e-5,2.3541281318311755e-4,4.804343126186072e-6,0,54,0,2916,0
2015-08-10,379323,178963,58,6,55,6,18,0,1.5290398947598747e-4,1.5817654083722844e-5,3.073260953381425e-4,3.352648312779737e-5,4.745296225116853e-5,0,0,55,0,3025,0
2015-08-11,371747,176163,245,12,227,12,194,4,6.590503756587141e-4,3.2280018399610485e-5,0.0012885793271004695,6.811873094804244e-5,5.218602974603696e-4,1.0760006133203497e-5,0,56,0,3136,0
2015-08-12,301292,153464,67,0,67,0,39,0,2.2237563559603308e-4,0,4.3658447583798155e-4,0,1.2944253415291478e-4,0,0,57,0,3249,0
2015-08-13,212582,113107,34,0,25,0,9,0,1.5993828263916984e-4,0,2.210296444959198e-4,0,4.2336604228015545e-5,0,0,58,0,3364,0
2015-08-14,182053,100229,23,8,21,7,4,1,1.2633683597633655e-4,4.3943247296117065e-5,2.0952019874487425e-4,6.984006624829141e-5,2.1971623648058533e-5,5.492905912014633e-6,0,59,0,3481,0
2015-08-15,186967,93845,21,3,20,3,9,0,1.1231928629116367e-4,1.6045612327309096e-5,2.1311737439394746e-4,3.196760615909212e-5,4.813683698192729e-5,0,0,60,0,3600,0
