date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,230,73,227,72,66,12,0.0012374306635318424,3.927497323383673e-4,0.0018409186751873357,5.839037207642651e-4,3.5508879910044173e-4,6.456159983644395e-5,0,1,0,1,0
2015-06-18,239572,155849,302,109,294,108,107,26,0.0012605813701100296,4.549780441787855e-4,0.0018864413631142964,6.929784599195375e-4,4.4662982318467937e-4,1.0852687292338003e-4,0,2,0,4,0
2015-06-19,158757,106903,143,65,137,63,34,9,9.007476835667089e-4,4.0943076525759494e-4,0.001281535597691365,5.893192894493138e-4,2.1416378490397273e-4,5.6690413651051604e-5,0,3,0,9,0
2015-06-20,124724,93928,154,73,151,72,57,31,0.0012347262756165613,5.852923254546038e-4,0.0016076143429009453,7.665445873434972e-4,4.570090760398961e-4,2.485487957409961e-4,0,4,0,16,0
2015-06-21,71790,52531,91,60,88,59,39,33,0.0012675860147652878,8.357709987463436e-4,0.0016752013097028422,0.0011231463326416783,5.432511491851233e-4,4.5967404931048894e-4,0,5,0,25,0
2015-06-22,62404,45764,144,22,138,21,91,11,0.002307544388180245,3.525415037497596e-4,0.0030154706756402414,4.588759723800367e-4,0.0014582398564194604,1.762707518748798e-4,0,6,0,36,0
2015-06-23,50630,38703,105,21,99,20,50,7,0.0020738692474817303,4.1477384949634605e-4,0.0025579412448647394,5.167558070433817e-4,9.875567845151097e-4,1.3825794983211536e-4,0,7,0,49,0
2015-06-24,59852,44742,84,38,83,37,32,19,0.001403461872619127,6.348994185657956e-4,0.0018550802378078763,8.269634795047159e-4,5.346521419501437e-4,3.174497092828978e-4,0,8,0,64,0
2015-06-25,173344,106682,126,46,126,46,32,7,7.268783459479417e-4,2.653682850286136e-4,0.0011810802197184155,4.311880167225961e-4,1.8460402436773122e-4,4.03821303304412e-5,0,9,0,81,0
2015-06-26,179412,111224,237,110,228,104,82,26,0.0013209818741221323,6.131139500144918e-4,0.0020499172840394157,9.350499892109617e-4,4.570485809198939e-4,1.4491784273069805e-4,0,10,0,100,0
2015-06-27,141857,91458,165,47,164,47,77,12,0.0011631431653002671,3.3131956829765183e-4,0.0017931728224977585,5.138970893743577e-4,5.428001438067913e-4,8.45922302036558e-5,0,11,0,121,0
2015-06-28,96840,67562,299,44,294,44,221,14,0.00308756712102437,4.543577034283354e-4,0.004351558568426038,6.512536633018561e-4,0.0022821148285832303,1.4456836018174308e-4,0,12,0,144,0
2015-06-29,250334,150343,321,81,290,78,126,27,0.0012822868647486957,3.235677135347176e-4,0.0019289225304803016,5.188136461291846e-4,5.033275543873385e-4,1.0785590451157254e-4,0,13,0,169,0
2015-06-30,310688,183127,308,109,289,108,109,40,9.913482335976928e-4,3.5083427747450817e-4,0.0015781397609309386,5.897546511437417e-4,3.5083427747450817e-4,1.287465238438562e-4,0,14,0,196,0
2015-07-01,307686,181455,439,90,427,90,228,17,0.001426779248974604,2.9250599637292566e-4,0.0023532005180347745,4.959907415061585e-4,7.410151908114116e-4,5.525113264821929e-5,0,15,0,225,0
2015-07-02,315123,181043,465,87,451,87,247,22,0.0014756142839462685,2.7608267248026963e-4,0.002491120893931276,4.8054881989361645e-4,7.838209207198459e-4,6.981400913294174e-5,0,16,0,256,0
2015-07-03,227649,144096,729,66,706,65,560,21,0.0032022982749759497,2.899200084340366e-4,0.004899511436819898,4.5108816344659116e-4,0.0024599273442887956,9.224727541082983e-5,0,17,0,289,0
2015-07-04,163256,95956,353,35,331,33,118,1,0.0021622482481501444,2.1438722007154407e-4,0.003449497686439618,3.4390762432781694e-4,7.227911990983486e-4,6.125349144901259e-6,0,18,0,324,0
2015-07-05,161806,96182,367,27,347,27,155,1,0.002268148276330915,1.6686649444396377e-4,0.0036077436526585015,2.80717805826454e-4,9.579372829190512e-4,6.180240534961621e-6,0,19,0,361,0
2015-07-06,182295,115760,282,72,267,71,107,27,0.0015469431416111248,3.9496420636879785e-4,0.002306496199032481,6.133379405666897e-4,5.869606955758523e-4,1.4811157738829918e-4,0,20,0,400,0
2015-07-07,207599,124396,354,71,338,69,136,17,0.0017052105260622643,3.4200550098988916e-4,0.0027171291681404547,5.546802147979034e-4,6.551091286566891e-4,8.188864108208614e-5,0,21,0,441,0
2015-07-08,129766,76623,192,35,181,35,73,8,0.0014795863323212551,2.6971625849606215e-4,0.0023622150007178,4.567819062161492e-4,5.625510534346439e-4,6.164943051338563e-5,0,22,0,484,0
