date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2015-06-18,239572,155849,1,0,1,0,0,0,4.174110497053078e-6,0,6.416467221477199e-6,0,0,0,0,2,0,4,0
2015-06-19,158757,106903,4,0,2,0,2,0,2.5195739400467382e-5,0,1.8708548871406788e-5,0,1.2597869700233691e-5,0,0,3,0,9,0
2015-06-20,124724,93928,2,0,2,0,0,0,1.603540617683846e-5,0,2.1292905203986033e-5,0,0,0,0,4,0,16,0
2015-06-21,71790,52531,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0
2015-06-22,62404,45764,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0
2015-06-23,50630,38703,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0
2015-06-24,59852,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64,0
2015-06-25,173344,106682,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,81,0
2015-06-26,179412,111224,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,100,0
2015-06-27,141857,91458,2,0,2,0,0,0,1.4098705033942633e-5,0,2.1867961249972665e-5,0,0,0,0,11,0,121,0
2015-06-28,96840,67562,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,144,0
2015-06-29,250334,150343,3,2,3,2,0,0,1.1983989390174727e-5,7.989326260116484e-6,1.9954371004968638e-5,1.3302914003312425e-5,0,0,0,13,0,169,0
2015-06-30,310688,183127,1,0,1,0,0,0,3.2186630960964052e-6,0,5.460691214293905e-6,0,0,0,0,14,0,196,0
2015-07-01,307686,181455,1,0,1,0,0,0,3.2500666263658406e-6,0,5.511008238957317e-6,0,0,0,0,15,0,225,0
2015-07-02,315123,181043,1,0,1,0,0,0,3.173364051497352e-6,0,5.523549653949614e-6,0,0,0,0,16,0,256,0
2015-07-03,227649,144096,1,0,1,0,0,0,4.3927274005157064e-6,0,6.939817899178326e-6,0,0,0,0,17,0,289,0
2015-07-04,163256,95956,4,1,4,1,1,0,2.4501396579605037e-5,6.125349144901259e-6,4.168577264579599e-5,1.0421443161448997e-5,6.125349144901259e-6,0,0,18,0,324,0
2015-07-05,161806,96182,1,1,1,1,0,0,6.180240534961621e-6,6.180240534961621e-6,1.039695577135015e-5,1.039695577135015e-5,0,0,0,19,0,361,0
2015-07-06,182295,115760,1,0,1,0,0,0,5.4856139773444144e-6,0,8.638562543192813e-6,0,0,0,0,20,0,400,0
2015-07-07,207599,124396,6,2,6,2,1,0,2.8901873323089227e-5,9.633957774363076e-6,4.823306215633943e-5,1.6077687385446478e-5,4.816978887181538e-6,0,0,21,0,441,0
2015-07-08,129766,76623,2,0,2,0,1,0,1.541235762834641e-5,0,2.610182321235138e-5,0,7.706178814173204e-6,0,0,22,0,484,0
2015-07-09,266406,136579,2,0,2,0,0,0,7.507338423308784e-6,0,1.4643539636400912e-5,0,0,0,0,23,0,529,0
