date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,5,2,5,2,0,0,2.690066659851831e-5,1.0760266639407325e-5,4.054886949751841e-5,1.6219547799007363e-5,0,0,0,1,0,1,0
2015-06-18,239572,155849,21,10,21,10,5,1,8.765632043811464e-5,4.174110497053078e-5,1.3474581165102119e-4,6.4164672214772e-5,2.087055248526539e-5,4.174110497053078e-6,0,2,0,4,0
2015-06-19,158757,106903,39,20,39,20,7,0,2.45658459154557e-4,1.259786970023369e-4,3.648167029924324e-4,1.870854887140679e-4,4.409254395081792e-5,0,0,3,0,9,0
2015-06-20,124724,93928,9,4,9,4,0,0,7.215932779577307e-5,3.207081235367692e-5,9.581807341793714e-5,4.2585810407972066e-5,0,0,0,4,0,16,0
2015-06-21,71790,52531,4,4,4,4,0,0,5.5718066583089564e-5,5.5718066583089564e-5,7.614551407740191e-5,7.614551407740191e-5,0,0,0,5,0,25,0
2015-06-22,62404,45764,3,1,3,1,0,0,4.807384142042177e-5,1.6024613806807256e-5,6.555371034000524e-5,2.185123678000175e-5,0,0,0,6,0,36,0
2015-06-23,50630,38703,5,1,5,1,3,0,9.875567845151097e-5,1.9751135690302193e-5,1.2918895176084543e-4,2.5837790352169084e-5,5.9253407070906575e-5,0,0,7,0,49,0
2015-06-24,59852,44742,2,1,2,1,1,0,3.3415758871883984e-5,1.6707879435941992e-5,4.4700728621876533e-5,2.2350364310938267e-5,1.6707879435941992e-5,0,0,8,0,64,0
2015-06-25,173344,106682,12,10,12,10,3,3,6.92265091378992e-5,5.768875761491601e-5,1.124838304493729e-4,9.373652537447741e-5,1.73066272844748e-5,1.73066272844748e-5,0,9,0,81,0
2015-06-26,179412,111224,32,18,32,18,17,10,1.7836042182239762e-4,1.0032773727509866e-4,2.877076889879882e-4,1.6183557505574338e-4,9.475397409314873e-5,5.573763181949925e-5,0,10,0,100,0
2015-06-27,141857,91458,33,21,28,18,10,8,2.3262863306005343e-4,1.4803640285639765e-4,3.061514574996173e-4,1.96811651249754e-4,7.049352516971317e-5,5.639482013577053e-5,0,11,0,121,0
2015-06-28,96840,67562,10,7,10,7,5,4,1.0326311441553078e-4,7.228418009087154e-5,1.4801219620496728e-4,1.036085373434771e-4,5.163155720776539e-5,4.130524576621231e-5,0,12,0,144,0
2015-06-29,250334,150343,27,10,25,10,11,2,1.0785590451157254e-4,3.994663130058242e-5,1.662864250414053e-4,6.651457001656213e-5,4.394129443064067e-5,7.989326260116484e-6,0,13,0,169,0
2015-06-30,310688,183127,35,19,35,19,12,3,1.1265320836337418e-4,6.11545988258317e-5,1.911241925002867e-4,1.037531330715842e-4,3.862395715315686e-5,9.655989288289216e-6,0,14,0,196,0
2015-07-01,307686,181455,34,18,32,17,10,4,1.1050226529643858e-4,5.850119927458513e-5,1.7635226364663416e-4,9.368714006227439e-5,3.2500666263658404e-5,1.3000266505463362e-5,0,15,0,225,0
2015-07-02,315123,181043,492,13,489,12,470,0,0.001561295113336697,4.125373266946558e-5,0.002701015780781361,6.628259584739538e-5,0.0014914811042037554,0,0,16,0,256,0
2015-07-03,227649,144096,204,15,201,15,184,1,8.961163897052041e-4,6.589091100773559e-5,0.0013949033977348434,1.0409726848767489e-4,8.082618416948899e-4,4.3927274005157064e-6,0,17,0,289,0
2015-07-04,163256,95956,85,39,71,29,52,13,5.20654677316607e-4,2.3888861665114912e-4,7.399224644628788e-4,3.0222185168202095e-4,3.185181555348655e-4,7.962953888371637e-5,0,18,0,324,0
2015-07-05,161806,96182,69,26,62,24,48,17,4.2643659691235183e-4,1.6068625390900214e-4,6.446112578237092e-4,2.4952693851240356e-4,2.966515456781578e-4,1.0506408909434755e-4,0,19,0,361,0
2015-07-06,182295,115760,64,33,46,15,19,3,3.510792945500425e-4,1.8102526125236568e-4,3.973738769868694e-4,1.295784381478922e-4,1.0422666556954387e-4,1.6456841932033242e-5,0,20,0,400,0
2015-07-07,207599,124396,51,25,47,23,31,12,2.456659232462584e-4,1.2042447217953844e-4,3.778256535579922e-4,1.8489340493263448e-4,1.4932634550262767e-4,5.780374664617845e-5,0,21,0,441,0
2015-07-08,129766,76623,31,6,31,6,20,1,2.3889154323936931e-4,4.623707288503922e-5,4.0457825979144644e-4,7.830546963705414e-5,1.5412357628346408e-4,7.706178814173204e-6,0,22,0,484,0
