date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,1,0,1,0,1,0,5.380133319703662e-6,0,8.109773899503681e-6,0,5.380133319703662e-6,0,0,1,0,1,0
2015-06-18,239572,155849,4,2,4,2,2,2,1.6696441988212313e-5,8.348220994106157e-6,2.5665868885908795e-5,1.2832934442954398e-5,8.348220994106157e-6,8.348220994106157e-6,0,2,0,4,0
2015-06-19,158757,106903,1,0,1,0,0,0,6.298934850116846e-6,0,9.354274435703394e-6,0,0,0,0,3,0,9,0
2015-06-20,124724,93928,3,1,3,1,0,0,2.4053109265257688e-5,8.01770308841923e-6,3.1939357805979046e-5,1.0646452601993016e-5,0,0,0,4,0,16,0
2015-06-21,71790,52531,2,0,2,0,0,0,2.7859033291544782e-5,0,3.807275703870096e-5,0,0,0,0,5,0,25,0
2015-06-22,62404,45764,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0
2015-06-23,50630,38703,5,0,5,0,2,0,9.875567845151097e-5,0,1.2918895176084543e-4,0,3.9502271380604385e-5,0,0,7,0,49,0
2015-06-24,59852,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64,0
2015-06-25,173344,106682,2,0,2,0,1,0,1.1537751522983201e-5,0,1.8747305074895483e-5,0,5.7688757614916006e-6,0,0,9,0,81,0
2015-06-26,179412,111224,5,3,5,3,0,0,2.7868815909749626e-5,1.6721289545849775e-5,4.495432640437316e-5,2.6972595842623893e-5,0,0,0,10,0,100,0
2015-06-27,141857,91458,3,0,2,0,0,0,2.114805755091395e-5,0,2.1867961249972665e-5,0,0,0,0,11,0,121,0
2015-06-28,96840,67562,7,0,7,0,5,0,7.228418009087154e-5,0,1.036085373434771e-4,0,5.163155720776539e-5,0,0,12,0,144,0
2015-06-29,250334,150343,4,1,4,1,1,0,1.5978652520232968e-5,3.994663130058242e-6,2.660582800662485e-5,6.6514570016562125e-6,3.994663130058242e-6,0,0,13,0,169,0
2015-06-30,310688,183127,6,1,5,1,3,0,1.931197857657843e-5,3.2186630960964052e-6,2.7303456071469526e-5,5.460691214293905e-6,9.655989288289216e-6,0,0,14,0,196,0
2015-07-01,307686,181455,2,1,2,1,0,0,6.500133252731681e-6,3.2500666263658406e-6,1.1022016477914635e-5,5.511008238957317e-6,0,0,0,15,0,225,0
2015-07-02,315123,181043,13,0,13,0,9,0,4.125373266946558e-5,0,7.180614550134498e-5,0,2.8560276463476167e-5,0,0,16,0,256,0
2015-07-03,227649,144096,3,0,3,0,0,0,1.3178182201547118e-5,0,2.0819453697534977e-5,0,0,0,0,17,0,289,0
2015-07-04,163256,95956,13,4,12,4,1,1,7.962953888371637e-5,2.4501396579605037e-5,1.2505731793738796e-4,4.168577264579599e-5,6.125349144901259e-6,6.125349144901259e-6,0,18,0,324,0
2015-07-05,161806,96182,8,5,8,5,5,4,4.944192427969297e-5,3.09012026748081e-5,8.31756461708012e-5,5.198477885675074e-5,3.09012026748081e-5,2.4720962139846483e-5,0,19,0,361,0
2015-07-06,182295,115760,5,4,5,4,3,2,2.7428069886722073e-5,2.1942455909377658e-5,4.319281271596406e-5,3.4554250172771254e-5,1.6456841932033242e-5,1.0971227954688829e-5,0,20,0,400,0
2015-07-07,207599,124396,5,2,5,2,1,1,2.408489443590769e-5,9.633957774363076e-6,4.019421846361619e-5,1.6077687385446478e-5,4.816978887181538e-6,4.816978887181538e-6,0,21,0,441,0
2015-07-08,129766,76623,5,3,5,3,1,1,3.853089407086602e-5,2.311853644251961e-5,6.525455803087846e-5,3.915273481852707e-5,7.706178814173204e-6,7.706178814173204e-6,0,22,0,484,0
2015-07-09,266406,136579,9,0,9,0,4,0,3.378302290488953e-5,0,6.58959283638041e-5,0,1.5014676846617569e-5,0,0,23,0,529,0
2015-07-10,209770,111370,14,1,14,1,5,0,6.673976259713019e-5,4.767125899795014e-6,1.257071024512885e-4,8.979078746520608e-6,2.3835629498975066e-5,0,0,24,0,576,0
2015-07-11,191932,87589,23,0,21,0,14,0,1.1983410791321926e-4,0,2.3975613376108873e-4,0,7.294250046891607e-5,0,0,25,0,625,0
2015-07-12,259211,135275,9,4,6,2,0,0,3.472074873365714e-5,1.5431443881625394e-5,4.4354093513213824e-5,1.478469783773794e-5,0,0,0,26,0,676,0
2015-07-13,355705,206020,15,6,15,6,6,4,4.216977551622834e-5,1.6867910206491334e-5,7.280846519755364e-5,2.9123386079021453e-5,1.6867910206491334e-5,1.1245273470994222e-5,0,27,0,729,0
2015-07-14,273404,168274,2,1,2,1,0,0,7.315181928574564e-6,3.657590964287282e-6,1.1885377420159977e-5,5.9426887100799885e-6,0,0,0,28,0,784,0
2015-07-15,212582,129561,4,1,4,1,1,1,1.8816268545784684e-5,4.704067136446171e-6,3.0873488163876476e-5,7.718372040969119e-6,4.704067136446171e-6,4.704067136446171e-6,0,29,0,841,0
2015-07-16,170257,105287,22,8,21,8,8,3,1.2921641988288294e-4,4.698778904832107e-5,1.994548234824812e-4,7.598278989808808e-5,4.698778904832107e-5,1.76204208931204e-5,0,30,0,900,0
2015-07-17,234700,151274,12,3,12,3,2,1,5.1129100979974434e-5,1.2782275244993609e-5,7.932625566852202e-5,1.9831563917130504e-5,8.521516829995738e-6,4.260758414997869e-6,0,31,0,961,0
2015-07-18,324246,166728,18,4,15,3,4,0,5.551340648766677e-5,1.2336312552814839e-5,8.996689218367641e-5,1.7993378436735283e-5,1.2336312552814839e-5,0,0,32,0,1024,0
2015-07-19,298763,155182,169,147,169,147,150,143,5.656657618245901e-4,4.920287987468328e-4,0.0010890438324032427,9.472748128004537e-4,5.020702028028906e-4,4.7864026000542237e-4,0,33,0,1089,0
2015-07-20,318564,161569,26,7,24,6,15,5,8.161625293504602e-5,2.1973606559435465e-5,1.4854334680538964e-4,3.713583670134741e-5,4.708629977021886e-5,1.569543325673962e-5,0,34,0,1156,0
2015-07-21,374953,184864,17,2,17,2,3,1,4.533901582331652e-5,5.33400186156665e-6,9.195949454734292e-5,1.0818764064393283e-5,8.001002792349975e-6,2.667000930783325e-6,0,35,0,1225,0
2015-07-22,306448,164409,10,4,9,4,4,1,3.263196366104527e-5,1.3052785464418106e-5,5.4741528748426184e-5,2.4329568332633857e-5,1.3052785464418106e-5,3.2631963661045265e-6,0,36,0,1296,0
2015-07-23,364702,196448,5,1,5,1,2,0,1.3709823362635796e-5,2.7419646725271593e-6,2.545202801759244e-5,5.090405603518488e-6,5.483929345054319e-6,0,0,37,0,1369,0
2015-07-24,232124,135070,7,0,6,0,0,0,3.015629577294894e-5,0,4.4421411120159916e-5,0,0,0,0,38,0,1444,0
2015-07-25,152287,84262,13,3,12,3,6,0,8.536513293977818e-5,1.9699646063025736e-5,1.4241295008426098e-4,3.5603237521065246e-5,3.939929212605147e-5,0,0,39,0,1521,0
2015-07-26,160889,83248,4,0,4,0,1,0,2.486186128324497e-5,0,4.8049202383240436e-5,0,6.215465320811243e-6,0,0,40,0,1600,0
2015-07-27,172456,96164,6,3,5,2,1,1,3.4791483044950596e-5,1.7395741522475298e-5,5.1994509379809495e-5,2.0797803751923796e-5,5.798580507491766e-6,5.798580507491766e-6,0,41,0,1681,0
