date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,12,4,9,4,2,1,6.456159983644395e-5,2.152053327881465e-5,7.298796509553314e-5,3.2439095598014726e-5,1.0760266639407325e-5,5.380133319703662e-6,0,1,0,1,0
2015-06-18,239572,155849,10,6,9,6,5,5,4.174110497053078e-5,2.5044662982318468e-5,5.774820499329479e-5,3.84988033288632e-5,2.087055248526539e-5,2.087055248526539e-5,0,2,0,4,0
2015-06-19,158757,106903,4,0,4,0,1,0,2.5195739400467382e-5,0,3.7417097742813576e-5,0,6.298934850116846e-6,0,0,3,0,9,0
2015-06-20,124724,93928,26,3,20,2,13,0,2.0846028029889997e-4,2.4053109265257688e-5,2.1292905203986032e-4,2.1292905203986033e-5,1.0423014014944998e-4,0,0,4,0,16,0
2015-06-21,71790,52531,14,4,7,4,1,1,1.950132330408135e-4,5.5718066583089564e-5,1.3325464963545336e-4,7.614551407740191e-5,1.3929516645772391e-5,1.3929516645772391e-5,0,5,0,25,0
2015-06-22,62404,45764,3,2,3,2,1,0,4.807384142042177e-5,3.204922761361451e-5,6.555371034000524e-5,4.37024735600035e-5,1.6024613806807256e-5,0,0,6,0,36,0
2015-06-23,50630,38703,1,0,1,0,0,0,1.9751135690302193e-5,0,2.5837790352169084e-5,0,0,0,0,7,0,49,0
2015-06-24,59852,44742,5,2,5,2,1,1,8.353939717970995e-5,3.3415758871883984e-5,1.1175182155469134e-4,4.4700728621876533e-5,1.6707879435941992e-5,1.6707879435941992e-5,0,8,0,64,0
2015-06-25,173344,106682,13,0,13,0,9,0,7.499538489939081e-5,0,1.2185748298682065e-4,0,5.1919881853424406e-5,0,0,9,0,81,0
2015-06-26,179412,111224,20,8,19,8,14,5,1.114752636389985e-4,4.4590105455599404e-5,1.70826440336618e-4,7.192692224699705e-5,7.803268454729896e-5,2.7868815909749626e-5,0,10,0,100,0
2015-06-27,141857,91458,3,0,3,0,1,0,2.114805755091395e-5,0,3.2801941874959e-5,0,7.049352516971316e-6,0,0,11,0,121,0
2015-06-28,96840,67562,6,4,4,3,0,0,6.195786864931847e-5,4.130524576621231e-5,5.9204878481986913e-5,4.440365886149019e-5,0,0,0,12,0,144,0
