date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,20,11,20,11,11,4,1.0760266639407324e-4,5.9181466516740286e-5,1.6219547799007364e-4,8.92075128945405e-5,5.9181466516740286e-5,2.152053327881465e-5,0,1,0,1,0
2015-06-18,239572,155849,19,18,19,18,4,3,7.930809944400848e-5,7.51339889469554e-5,1.2191287720806679e-4,1.1549640998658958e-4,1.6696441988212313e-5,1.2522331491159234e-5,0,2,0,4,0
2015-06-19,158757,106903,27,18,26,17,9,4,1.7007124095315483e-4,1.1338082730210321e-4,2.4321113532828825e-4,1.590226654069577e-4,5.6690413651051604e-5,2.5195739400467382e-5,0,3,0,9,0
2015-06-20,124724,93928,11,10,10,9,0,0,8.819473397261153e-5,8.01770308841923e-5,1.0646452601993016e-4,9.581807341793714e-5,0,0,0,4,0,16,0
2015-06-21,71790,52531,9,8,9,8,0,0,1.2536564981195154e-4,1.1143613316617913e-4,1.7132740667415432e-4,1.5229102815480383e-4,0,0,0,5,0,25,0
2015-06-22,62404,45764,13,4,12,4,7,0,2.0831997948849432e-4,6.409845522722902e-5,2.6221484136002097e-4,8.7404947120007e-5,1.1217229664765079e-4,0,0,6,0,36,0
2015-06-23,50630,38703,5,5,4,4,0,0,9.875567845151097e-5,9.875567845151097e-5,1.0335116140867634e-4,1.0335116140867634e-4,0,0,0,7,0,49,0
2015-06-24,59852,44742,4,1,4,1,2,0,6.683151774376797e-5,1.6707879435941992e-5,8.940145724375307e-5,2.2350364310938267e-5,3.3415758871883984e-5,0,0,8,0,64,0
2015-06-25,173344,106682,15,12,15,12,2,0,8.653313642237401e-5,6.92265091378992e-5,1.4060478806171613e-4,1.124838304493729e-4,1.1537751522983201e-5,0,0,9,0,81,0
2015-06-26,179412,111224,24,24,23,23,2,2,1.337703163667982e-4,1.337703163667982e-4,2.0678990146011652e-4,2.0678990146011652e-4,1.1147526363899851e-5,1.1147526363899851e-5,0,10,0,100,0
