date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,67,35,61,31,16,8,3.6046893242014534e-4,1.8830466618962818e-4,4.946962078697246e-4,2.514029908846141e-4,8.60821331152586e-5,4.30410665576293e-5,0,1,0,1,0
2015-06-18,239572,155849,72,29,70,28,16,2,3.005359557878216e-4,1.2104920441453926e-4,4.4915270550340393e-4,1.7966108220136156e-4,6.678576795284925e-5,8.348220994106157e-6,0,2,0,4,0
2015-06-19,158757,106903,105,19,104,18,77,0,6.613881592622688e-4,1.1967976215222006e-4,9.72844541313153e-4,1.683769398426611e-4,4.850179834589971e-4,0,0,3,0,9,0
2015-06-20,124724,93928,37,11,34,10,12,1,2.966550142715115e-4,8.819473397261153e-5,3.619793884677625e-4,1.0646452601993016e-4,9.621243706103075e-5,8.01770308841923e-6,0,4,0,16,0
2015-06-21,71790,52531,18,11,17,11,4,1,2.507312996239031e-4,1.532246831034963e-4,3.236184348289581e-4,2.0940016371285528e-4,5.5718066583089564e-5,1.3929516645772391e-5,0,5,0,25,0
2015-06-22,62404,45764,13,9,12,8,2,0,2.0831997948849432e-4,1.442215242612653e-4,2.6221484136002097e-4,1.74809894240014e-4,3.204922761361451e-5,0,0,6,0,36,0
2015-06-23,50630,38703,14,12,14,12,2,2,2.765158996642307e-4,2.370136282836263e-4,3.6172906493036716e-4,3.10053484226029e-4,3.9502271380604385e-5,3.9502271380604385e-5,0,7,0,49,0
2015-06-24,59852,44742,27,8,25,8,10,2,4.5111274477043373e-4,1.3366303548753594e-4,5.587591077734568e-4,1.7880291448750613e-4,1.670787943594199e-4,3.3415758871883984e-5,0,8,0,64,0
2015-06-25,173344,106682,22,15,22,15,1,1,1.2691526675281522e-4,8.653313642237401e-5,2.0622035582385032e-4,1.4060478806171613e-4,5.7688757614916006e-6,5.7688757614916006e-6,0,9,0,81,0
2015-06-26,179412,111224,49,38,46,36,12,8,2.7311439591554636e-4,2.1180300091409716e-4,4.1357980292023303e-4,3.2367115011148676e-4,6.68851581833991e-5,4.4590105455599404e-5,0,10,0,100,0
2015-06-27,141857,91458,29,11,29,11,5,1,2.0443122299216817e-4,7.754287768668448e-5,3.1708543812460364e-4,1.2027378687484965e-4,3.5246762584856584e-5,7.049352516971316e-6,0,11,0,121,0
2015-06-28,96840,67562,20,10,19,9,2,1,2.0652622883106156e-4,1.0326311441553078e-4,2.8122317278943786e-4,1.3321097658447055e-4,2.0652622883106156e-5,1.0326311441553078e-5,0,12,0,144,0
2015-06-29,250334,150343,120,36,118,35,73,13,4.7935957560698905e-4,1.4380787268209673e-4,7.848719261954331e-4,2.3280099505796744e-4,2.916104084942517e-4,5.1930620690757146e-5,0,13,0,169,0
2015-06-30,310688,183127,103,50,85,40,30,11,3.3152229889792974e-4,1.6093315480482026e-4,4.64158753214982e-4,2.184276485717562e-4,9.655989288289216e-5,3.540529405706046e-5,0,14,0,196,0
2015-07-01,307686,181455,101,52,91,47,36,15,3.282567292629499e-4,1.690034645710237e-4,5.015017497451158e-4,2.590173872309939e-4,1.1700239854917026e-4,4.875099939548761e-5,0,15,0,225,0
2015-07-02,315123,181043,76,46,71,41,26,16,2.4117566791379873e-4,1.4597474636887818e-4,3.921720254304226e-4,2.2646553581193418e-4,8.250746533893115e-5,5.077382482395763e-5,0,16,0,256,0
2015-07-03,227649,144096,55,31,53,30,19,7,2.4160000702836383e-4,1.3617454941598688e-4,3.6781034865645125e-4,2.0819453697534977e-4,8.346182060979842e-5,3.074909180360994e-5,0,17,0,289,0
2015-07-04,163256,95956,30,16,30,16,5,0,1.837604743470378e-4,9.800558631842015e-5,3.1264329484346993e-4,1.6674309058318395e-4,3.06267457245063e-5,0,0,18,0,324,0
2015-07-05,161806,96182,54,30,51,28,15,5,3.3373298888792754e-4,1.8540721604884863e-4,5.302447443388576e-4,2.9111476159780417e-4,9.270360802442432e-5,3.09012026748081e-5,0,19,0,361,0
2015-07-06,182295,115760,50,29,46,26,9,6,2.742806988672207e-4,1.5908280534298802e-4,3.973738769868694e-4,2.2460262612301313e-4,4.937052579609973e-5,3.2913683864066485e-5,0,20,0,400,0
2015-07-07,207599,124396,71,35,66,34,27,17,3.4200550098988916e-4,1.685942610513538e-4,5.305636837197338e-4,2.7332068555259014e-4,1.300584299539015e-4,8.188864108208614e-5,0,21,0,441,0
2015-07-08,129766,76623,64,32,64,32,29,14,4.931954441070851e-4,2.4659772205354254e-4,8.352583427952442e-4,4.176291713976221e-4,2.2347918561102292e-4,1.0788650339842486e-4,0,22,0,484,0
2015-07-09,266406,136579,209,125,206,125,135,89,7.84516865235768e-4,4.69208651456799e-4,0.0015082845825492939,9.15221227275057e-4,5.067453435733429e-4,3.340765598372409e-4,0,23,0,529,0
2015-07-10,209770,111370,69,38,68,37,26,12,3.2893168708585596e-4,1.8115078419221053e-4,6.105773547634012e-4,3.322259136212625e-4,1.2394527339467035e-4,5.720551079754016e-5,0,24,0,576,0
2015-07-11,191932,87589,61,12,61,12,23,1,3.1782089490027716e-4,6.252214325907092e-5,6.9643448378221e-4,1.370035050063364e-4,1.1983410791321926e-4,5.210178604922577e-6,0,25,0,625,0
2015-07-12,259211,135275,284,26,277,26,238,4,0.001095632515595403,1.0030438523056507e-4,0.002047680650526705,1.9220107189059325e-4,9.181709109567109e-4,1.5431443881625394e-5,0,26,0,676,0
2015-07-13,355705,206020,157,75,155,74,65,24,4.4137698373652323e-4,2.1084887758114168e-4,7.523541403747209e-4,3.5918842830793125e-4,1.827356939036561e-4,6.747164082596534e-5,0,27,0,729,0
2015-07-14,273404,168274,139,68,136,66,60,23,5.084051440359321e-4,2.4871618557153514e-4,8.082056645708785e-4,3.922174548652792e-4,2.194554578572369e-4,8.412459217860748e-5,0,28,0,784,0
2015-07-15,212582,129561,60,22,58,21,16,0,2.8224402818677026e-4,1.0348947700181577e-4,4.476655783762089e-4,1.620858128603515e-4,7.526507418313874e-5,0,0,29,0,841,0
2015-07-16,170257,105287,80,38,78,38,27,12,4.6987789048321066e-4,2.2319199797952508e-4,7.408322015063588e-4,3.609182520159184e-4,1.585837880380836e-4,7.04816835724816e-5,0,30,0,900,0
2015-07-17,234700,151274,44,23,41,23,10,4,1.8747337025990627e-4,9.7997443544951e-5,2.710313735341169e-4,1.5204199003133388e-4,4.2607584149978694e-5,1.7043033659991477e-5,0,31,0,961,0
2015-07-18,324246,166728,185,67,178,63,76,8,5.705544555676862e-4,2.0663323525964853e-4,0.0010676071205796267,3.7786094717144093e-4,2.3438993850348193e-4,2.4672625105629677e-5,0,32,0,1024,0
2015-07-19,298763,155182,122,46,114,43,32,6,4.0835043161301766e-4,1.5396819552621977e-4,7.346212833962702e-4,2.7709399285999665e-4,1.0710830993128332e-4,2.0082808112115624e-5,0,33,0,1089,0
2015-07-20,318564,161569,158,72,145,63,49,28,4.95975690912972e-4,2.2601423889705052e-4,8.974493869492291e-4,3.899262853641478e-4,1.5381524591604826e-4,8.789442623774186e-5,0,34,0,1156,0
