date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,185869,123308,12,0,12,0,6,0,6.456159983644395e-5,0,9.731728679404418e-5,0,3.2280799918221975e-5,0,0,1,0,1,0
2015-06-18,239572,155849,23,0,23,0,10,0,9.600454143222079e-5,0,1.4757874609397557e-4,0,4.174110497053078e-5,0,0,2,0,4,0
2015-06-19,158757,106903,6,0,6,0,1,0,3.779360910070107e-5,0,5.612564661422037e-5,0,6.298934850116846e-6,0,0,3,0,9,0
2015-06-20,124724,93928,5,0,5,0,0,0,4.008851544209615e-5,0,5.323226300996508e-5,0,0,0,0,4,0,16,0
2015-06-21,71790,52531,7,1,7,1,1,0,9.750661652040675e-5,1.3929516645772391e-5,1.3325464963545336e-4,1.903637851935048e-5,1.3929516645772391e-5,0,0,5,0,25,0
2015-06-22,62404,45764,4,0,4,0,0,0,6.409845522722902e-5,0,8.7404947120007e-5,0,0,0,0,6,0,36,0
2015-06-23,50630,38703,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0
2015-06-24,59852,44742,9,0,9,0,4,0,1.5037091492347792e-4,0,2.011532787984444e-4,0,6.683151774376797e-5,0,0,8,0,64,0
2015-06-25,173344,106682,7,0,6,0,0,0,4.03821303304412e-5,0,5.624191522468645e-5,0,0,0,0,9,0,81,0
2015-06-26,179412,111224,20,0,20,0,3,0,1.114752636389985e-4,0,1.7981730561749263e-4,0,1.6721289545849775e-5,0,0,10,0,100,0
2015-06-27,141857,91458,18,0,17,0,2,0,1.268883453054837e-4,0,1.8587767062476764e-4,0,1.4098705033942633e-5,0,0,11,0,121,0
2015-06-28,96840,67562,8,0,7,0,1,0,8.261049153242462e-5,0,1.036085373434771e-4,0,1.0326311441553078e-5,0,0,12,0,144,0
2015-06-29,250334,150343,26,0,25,0,13,0,1.0386124138151429e-4,0,1.662864250414053e-4,0,5.1930620690757146e-5,0,0,13,0,169,0
2015-06-30,310688,183127,28,0,28,0,8,0,9.012256669069935e-5,0,1.5289935400022935e-4,0,2.5749304768771242e-5,0,0,14,0,196,0
2015-07-01,307686,181455,24,0,23,0,5,0,7.800159903278017e-5,0,1.267531894960183e-4,0,1.6250333131829202e-5,0,0,15,0,225,0
2015-07-02,315123,181043,23,0,23,0,3,0,7.298737318443909e-5,0,1.2704164204084114e-4,0,9.520092154492056e-6,0,0,16,0,256,0
2015-07-03,227649,144096,15,0,14,0,3,0,6.589091100773559e-5,0,9.715745058849656e-5,0,1.3178182201547118e-5,0,0,17,0,289,0
2015-07-04,163256,95956,32,3,31,2,18,0,1.960111726368403e-4,1.8376047434703777e-5,3.230647380049189e-4,2.0842886322897994e-5,1.1025628460822267e-4,0,0,18,0,324,0
2015-07-05,161806,96182,35,3,33,3,17,1,2.1630841872365673e-4,1.8540721604884863e-5,3.430995404545549e-4,3.1190867314050445e-5,1.0506408909434755e-4,6.180240534961621e-6,0,19,0,361,0
2015-07-06,182295,115760,19,0,19,0,5,0,1.0422666556954387e-4,0,1.6413268832066345e-4,0,2.7428069886722073e-5,0,0,20,0,400,0
2015-07-07,207599,124396,35,1,32,1,9,1,1.685942610513538e-4,4.816978887181538e-6,2.5724299816714364e-4,8.038843692723239e-6,4.3352809984633836e-5,4.816978887181538e-6,0,21,0,441,0
2015-07-08,129766,76623,18,2,17,2,6,1,1.3871121865511766e-4,1.541235762834641e-5,2.2186549730498676e-4,2.610182321235138e-5,4.623707288503922e-5,7.706178814173204e-6,0,22,0,484,0
