date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-06-17,1486952,986464,351,133,339,128,103,31,0.0018884267952159854,7.155577315205871e-4,0.002749213351931748,0.0010380510591364712,5.541537319294773e-4,1.6678413291081355e-4,0,1,0,0,1
2015-06-18,1916576,1246792,456,178,445,176,149,40,0.0019033943866562037,7.429916684754479e-4,0.0028553279135573534,0.001129298230979987,6.219424640609086e-4,1.6696441988212313e-4,0,2,0,0,4
2015-06-19,1270056,855224,328,123,318,119,131,13,0.0020660506308383254,7.74768986564372e-4,0.0029746592705536794,0.0011131586578487038,8.251604653653067e-4,8.188615305151899e-5,0,3,0,0,9
2015-06-20,997792,751424,249,102,234,98,83,32,0.001996408069016388,8.178057150187614e-4,0.002491269908866366,0.0010433523549953155,6.654693563387961e-4,2.5656649882941534e-4,0,4,0,0,16
2015-06-21,574320,420248,145,91,134,90,45,36,0.002019779913636997,0.0012675860147652878,0.002550874721592964,0.0017132740667415432,6.268282490597576e-4,5.014625992478062e-4,0,5,0,0,25
2015-06-22,499232,366112,180,38,171,36,101,11,0.002884430485225306,6.089353246586757e-4,0.003736561489380299,7.86644524080063e-4,0.001618485994487533,1.762707518748798e-4,0,6,0,0,36
2015-06-23,405040,309624,137,39,130,37,57,9,0.0027059055895714006,7.702942919217855e-4,0.003358912745781981,9.559982430302561e-4,0.0011258147343472251,1.7776022121271975e-4,0,7,0,0,49
2015-06-24,478816,357936,141,53,136,52,52,22,0.0023558110004678204,8.855176101049255e-4,0.0030396495462876047,0.0011622189441687898,8.688097306689836e-4,3.675733475907238e-4,0,8,0,0,64
2015-06-25,1386752,853456,193,84,193,84,48,11,0.001113393021967879,4.8458556396529444e-4,0.0018091149397274143,7.873868131456103e-4,2.769060365515968e-4,6.345763337640761e-5,0,9,0,0,81
2015-06-26,1435296,889792,373,202,359,193,128,51,0.002079013666867322,0.0011259001627538848,0.0032277206358339926,0.0017352369992088038,7.134416872895905e-4,2.842619222794462e-4,0,10,0,0,100
2015-06-27,1134856,731664,264,99,256,96,104,27,0.0018610290644804274,6.978858991801603e-4,0.002799099039996501,0.001049662139998688,7.331326617650169e-4,1.9033251795822555e-4,0,11,0,0,121
2015-06-28,774720,540496,359,77,350,75,236,20,0.003707145807517555,7.951259809995869e-4,0.005180426867173855,0.0011100914715372547,0.0024370095002065263,2.0652622883106153e-4,0,12,0,0,144
2015-06-29,2002672,1202744,534,159,490,155,216,45,0.0021331501114511013,6.351514376792605e-4,0.003259213930811544,0.001030975835256713,8.628472360925803e-4,1.797598408526209e-4,0,13,0,0,169
2015-06-30,2485504,1465016,486,196,448,185,164,56,0.001564270264702853,6.308579668348954e-4,0.0024463896640036695,0.0010102278746443724,5.278607477598105e-4,1.802451333813987e-4,0,14,0,0,196
2015-07-01,2461488,1451640,621,179,597,173,283,36,0.002018291374973187,5.817619261194854e-4,0.0032900719186575184,9.534044253396159e-4,9.197688552615329e-4,1.1700239854917026e-4,0,15,0,0,225
2015-07-02,2520984,1448344,1120,186,1094,179,774,47,0.003554167737677034,5.902457135785075e-4,0.006042763321420878,9.88715388056981e-4,0.0024561837758589502,1.4914811042037552e-4,0,16,0,0,256
2015-07-03,1821192,1152768,1028,130,999,128,768,30,0.004515723767730146,5.710545620670418e-4,0.0069328780812791466,8.882966910948257e-4,0.0033736146435960623,1.3178182201547118e-4,0,17,0,0,289
2015-07-04,1306048,767648,524,117,484,102,185,18,0.00320968295192826,7.166658499534474e-4,0.005043978490141315,0.0010629872024677978,0.001133189591806733,1.1025628460822266e-4,0,18,0,0,324
2015-07-05,1294448,769456,548,115,517,110,229,28,0.0033867718131589683,7.107276615205864e-4,0.005375226133788027,0.0011436651348485163,0.0014152750825062112,1.7304673497892537e-4,0,19,0,0,361
2015-07-06,1458360,926080,441,151,403,129,148,38,0.0024191557640088866,8.283277105790066e-4,0.0034813407049067036,0.0011143745680718728,8.118708686469733e-4,2.0845333113908774e-4,0,20,0,0,400
2015-07-07,1660792,995168,535,155,509,150,216,50,0.0025770837046421224,7.466317275131383e-4,0.004091771439596129,0.0012058265539084858,0.001040467439631212,2.4084894435907688e-4,0,21,0,0,441
2015-07-08,1038128,612984,342,107,328,105,149,44,0.0026355131544472357,8.245611331165329e-4,0.004280699006825627,0.0013703457186484476,0.0011482206433118074,3.39071867823621e-4,0,22,0,0,484
2015-07-09,2131248,1092632,802,254,769,253,427,139,0.0030104427077468224,9.534319797602156e-4,0.00563044099019615,0.0018524077640047153,0.0016028167533764254,5.217600204199604e-4,0,23,0,0,529
