hate_speech,white_nationalist,anti_hate,directed
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,yes,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,yes,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,conservatives
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,another_democratic_politician
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
unclear,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,yes,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,yes,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,hillary_clinton
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,yes,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,yes,none
no,no,no,none
yes,no,no,donald_trump
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,hillary_clinton
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
yes,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,yes,none
no,no,no,none
yes,no,yes,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
yes,no,no,none
no,no,no,none
yes,yes,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
unclear,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,donald_trump
yes,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
unclear,no,no,none
yes,no,no,donald_trump
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,hillary_clinton
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,hillary_clinton
yes,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
unclear,no,no,none
no,yes,yes,none
no,no,no,none
yes,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,donald_trump
no,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
no,no,no,none
yes,no,no,none
yes,no,no,donald_trump
no,no,no,none
unclear,no,no,none
no,no,no,none
no,no,no,none
no,no,yes,none
no,no,no,none
no,no,no,none
