day,clinton,trump,random,election,date_num,date_num2,slope_change,slope_change2
2015-06-17,0.03150847679607597,0.02410135283709107,0.03002628725732557,0,1,1,0,0
2015-06-18,0.03382015117614303,0.02675589749415841,0.03400314382679821,0,2,4,0,0
2015-06-19,0.03537175328642537,0.03619415513509848,0.033367143077211704,0,3,9,0,0
2015-06-20,0.05622590711351067,0.04755171534212186,0.03360473938163744,0,4,16,0,0
2015-06-21,0.03744565483796945,0.04069364440367039,0.03295150727531615,0,5,25,0,0
2015-06-22,0.030418904212505857,0.034167046972069744,0.032471775271704105,0,6,36,0,0
2015-06-23,0.03148328927088154,0.032392851522108114,0.03285866870724748,0,7,49,0,0
2015-06-24,0.03286345889830418,0.031209157937594514,0.032630367930607314,0,8,64,0,0
2015-06-25,0.024884330084366826,0.02767607586787519,0.031979541772707225,0,9,81,0,0
2015-06-26,0.03503410914736423,0.038368535156046636,0.03450084680329126,0,10,100,0,0
2015-06-27,0.03269817284943775,0.03600171647868007,0.03440558113950111,0,11,121,0,0
2015-06-28,0.0348582623398004,0.04175029637159815,0.03459099424909563,0,12,144,0,0
2015-06-29,0.029468666280922443,0.02633330394356935,0.03192959302661346,0,13,169,0,0
2015-06-30,0.027664456790063397,0.03294278389716148,0.03250953411290937,0,14,196,0,0
2015-07-01,0.02359368597586374,0.02978181515696678,0.032294864467200916,0,15,225,0,0
2015-07-02,0.02238752798931155,0.028157113594526238,0.03217334211322722,0,16,256,0,0
2015-07-03,0.031936793538614915,0.028151606495303638,0.03285199597408076,0,17,289,0,0
2015-07-04,0.03479355492261805,0.030421019474555926,0.0333030041450526,0,18,324,0,0
2015-07-05,0.03286812750280885,0.03249626197793888,0.033986467473763146,0,19,361,0,0
2015-07-06,0.029936027711676656,0.030038471517118425,0.03256969384576161,0,20,400,0,0
2015-07-07,0.035044199172158966,0.031845485594094045,0.03320237094936456,0,21,441,0,0
2015-07-08,0.028657646491430506,0.028876540057252893,0.032913264216992734,0,22,484,0,0
2015-07-09,0.034525872188709325,0.029428926210624318,0.03273473346998534,0,23,529,0,0
2015-07-10,0.04132924322837591,0.02773396994818083,0.032529856465117885,0,24,576,0,0
2015-07-11,0.03803666018538966,0.029773191839643,0.033835109445172894,0,25,625,0,0
2015-07-12,0.035291630883076526,0.028009995827470355,0.03278270392616815,0,26,676,0,0
2015-07-13,0.044967731468076096,0.031802663420935434,0.03271603718980299,0,27,729,0,0
2015-07-14,0.037979560481805515,0.02863896809869756,0.032173207602067766,0,28,784,0,0
2015-07-15,0.03399056147355275,0.026855951800084068,0.03416794449932037,0,29,841,0,0
2015-07-16,0.036444072692671185,0.027565934546150996,0.03291922316271511,0,30,900,0,0
2015-07-17,0.02877318129361077,0.02452010014706359,0.0331199430452732,0,31,961,0,0
2015-07-18,0.028451273642997325,0.024718526633677216,0.03290253945007091,0,32,1024,0,0
2015-07-19,0.03508430724640292,0.024163613766834187,0.03373621342061399,0,33,1089,0,0
2015-07-20,0.0315202950851437,0.022765174218852283,0.033111953630073215,0,34,1156,0,0
2015-07-21,0.029285577820684656,0.025044661513643103,0.03344034287477928,0,35,1225,0,0
2015-07-22,0.029312832460501537,0.0237992957512585,0.031922339859164484,0,36,1296,0,0
2015-07-23,0.03215983253461718,0.02589028396608723,0.03275982991947269,0,37,1369,0,0
2015-07-24,0.01992683781137667,0.02579823614437014,0.03301461396456599,0,38,1444,0,0
2015-07-25,0.022339523380896897,0.023946032924131062,0.0333836179012342,0,39,1521,0,0
2015-07-26,0.03098892586294422,0.02464329085864421,0.03333188621245159,0,40,1600,0,0
2015-07-27,0.02535613325093341,0.02601796165590642,0.03282309655536268,0,41,1681,0,0
2015-07-28,0.02572478798263285,0.02566417659344096,0.03234004157015191,0,42,1764,0,0
2015-07-29,0.02385383180248086,0.02544340212484857,0.03203383273669262,0,43,1849,0,0
2015-07-30,0.024683383502483645,0.027751113778924717,0.033210004921382236,0,44,1936,0,0
2015-07-31,0.0329086099919618,0.030324026237988494,0.031663630248018215,0,45,2025,0,0
2015-08-01,0.030113582094997787,0.028957257757207113,0.03345602765588406,0,46,2116,0,0
2015-08-02,0.02587755701845517,0.02537744941744308,0.032798697206005416,0,47,2209,0,0
2015-08-03,0.021694805683492868,0.026565970189790667,0.03295339498112888,0,48,2304,0,0
2015-08-04,0.02710194750494151,0.026337080953714075,0.032547610109012776,0,49,2401,0,0
2015-08-05,0.02168586596442976,0.02760009008086414,0.03267749027362198,0,50,2500,0,0
2015-08-06,0.024928642045511068,0.03087367830939572,0.032742921807639006,0,51,2601,0,0
2015-08-07,0.026860302695117383,0.028480343863107088,0.03268928024461795,0,52,2704,0,0
2015-08-08,0.021954794105521345,0.02723713852441256,0.033622903342258245,0,53,2809,0,0
2015-08-09,0.0294157266798312,0.025963074976357397,0.033817192742424215,0,54,2916,0,0
2015-08-10,0.025104546597842142,0.023978642121549883,0.0332231199175578,0,55,3025,0,0
2015-08-11,0.03564961005003217,0.024535748368287626,0.03297055770268308,0,56,3136,0,0
2015-08-12,0.020850705708240543,0.02527861631290589,0.03324202392656793,0,57,3249,0,0
2015-08-13,0.021150262260354,0.02462800747280446,0.032654111866506186,0,58,3364,0,0
2015-08-14,0.020943793469086085,0.026596517616307862,0.03250885463480225,0,59,3481,0,0
2015-08-15,0.021635247041904337,0.027883398281114437,0.033430988602769315,0,60,3600,0,0
2015-08-16,0.025331611155136744,0.034638144640212636,0.03350145399898344,0,61,3721,0,0
2015-08-17,0.021378750040119788,0.039975077057421066,0.03295826937648939,0,62,3844,0,0
2015-08-18,0.026433364942959302,0.03786928745522357,0.033110333429702835,0,63,3969,0,0
2015-08-19,0.0265378486432589,0.034608089022381265,0.0333766271922902,0,64,4096,0,0
2015-08-20,0.02965390737418874,0.03343005971296071,0.03364548886543523,0,65,4225,0,0
2015-08-21,0.025835514240715438,0.03447448444346704,0.03315020845317387,0,66,4356,0,0
2015-08-22,0.0278158526826958,0.03172008859015038,0.03403948092945162,0,67,4489,0,0
2015-08-23,0.02413166433573669,0.03290580075998145,0.03363753379988098,0,68,4624,0,0
2015-08-24,0.03126278997878566,0.034553889459249934,0.032900116137065484,0,69,4761,0,0
2015-08-25,0.029551956854986263,0.032033212405538615,0.03326133371927525,0,70,4900,0,0
2015-08-26,0.02898477702533888,0.033336738915924306,0.03323123121371798,0,71,5041,0,0
2015-08-27,0.02530889917278569,0.03485213472282003,0.03303318923457433,0,72,5184,0,0
2015-08-28,0.02603867814157228,0.033797416028795636,0.03282027303081485,0,73,5329,0,0
2015-08-29,0.0304397370205883,0.03509385686219533,0.032660274274479935,0,74,5476,0,0
2015-08-30,0.027029953345056864,0.0346392370233827,0.03303120075237117,0,75,5625,0,0
2015-08-31,0.019064849535100528,0.025822701074072228,0.03230909470104757,0,76,5776,0,0
2015-09-01,0.02305004125205617,0.029914770324189363,0.03239757386477926,0,77,5929,0,0
2015-09-02,0.0247758268079622,0.0343700053748903,0.0330092582063039,0,78,6084,0,0
2015-09-03,0.02118542276865731,0.02788957337860093,0.03247823443670824,0,79,6241,0,0
2015-09-04,0.024970241702635242,0.02712074681480849,0.032052565815570165,0,80,6400,0,0
2015-09-05,0.02395989766950886,0.02802370806834849,0.03287465705742304,0,81,6561,0,0
2015-09-06,0.019152495016797787,0.02540177426254672,0.03378138008950367,0,82,6724,0,0
2015-09-07,0.020430457096118217,0.02927498429093623,0.03397476694450819,0,83,6889,0,0
2015-09-08,0.02135720839828816,0.028245306334605636,0.032746656550817606,0,84,7056,0,0
2015-09-09,0.027655590259155042,0.02653535287882373,0.03266324798543204,0,85,7225,0,0
2015-09-10,0.0311084268454678,0.029628562870274683,0.032596705021908715,0,86,7396,0,0
2015-09-11,0.037660254801429385,0.027459269894170496,0.03150820022032371,0,87,7569,0,0
2015-09-12,0.026080453706765042,0.027471186999685912,0.03224960045812044,0,88,7744,0,0
2015-09-13,0.0273635812453678,0.029537362251722963,0.031724069855871805,0,89,7921,0,0
2015-09-14,0.036885041170712236,0.02675314555902662,0.032246658411985006,0,90,8100,0,0
2015-09-15,0.026217996052921,0.027164537777880103,0.03188638268292312,0,91,8281,0,0
2015-09-16,0.036247348303649465,0.027424244399702404,0.032993052029196175,0,92,8464,0,0
2015-09-17,0.02405018172223186,0.030415624474526955,0.033294978360650186,0,93,8649,0,0
2015-09-18,0.02323164246154769,0.028290129296254806,0.032733548040707335,0,94,8836,0,0
2015-09-19,0.030444069134762167,0.027182560982369448,0.032317650404531495,0,95,9025,0,0
2015-09-20,0.02963656273781173,0.027519572170861685,0.031618432426322264,0,96,9216,0,0
2015-09-21,0.02594198130386831,0.029317535520086577,0.03264961097802118,0,97,9409,0,0
2015-09-22,0.019375978770951482,0.028643916552869207,0.03242264478089996,0,98,9604,0,0
2015-09-23,0.021875284807386017,0.025596497203761774,0.03274093700977621,0,99,9801,0,0
2015-09-24,0.03220711133906939,0.02616226098959089,0.03384234340639333,0,100,10000,0,0
2015-09-25,0.026245910561221882,0.020915907593488985,0.031995883367938065,0,101,10201,0,0
2015-09-26,0.02275057735118853,0.024749159093566345,0.03195718080608607,0,102,10404,0,0
2015-09-27,0.020336200175610445,0.025997156527895183,0.032562982298549585,0,103,10609,0,0
2015-09-28,0.022726568429788502,0.024113939398683903,0.03310974612870946,0,104,10816,0,0
2015-09-29,0.02602458951491945,0.022295847796643918,0.03248522400547923,0,105,11025,0,0
